_id,dob,gender,language,registration_date,primary_use,registration_referring_url,flag_optin_email_marketing,country_code,country_name
176673,7/28/1959,F,English        ,3/9/2013,business       ,www.retail.com                                   ,1,AT,Austria                                      
183759,5/5/1951,M,French         ,3/5/2013,personel       ,showcase.retail.com                                  ,0,EC,Ecuador                                      
184419,1/15/1959,F,Spanish        ,3/6/2013,business       ,www.retail.com                                   ,1,CM,Cameroon                                     
188678,1/24/1958,F,English        ,3/5/2013,business       ,www.retail.com                                   ,1,AT,Austria                                      
196646,4/13/1957,F,Spanish        ,3/10/2013,personel       ,partner.retail.com                                  ,0,CR,Costa Rica                                   
198076,3/4/1951,F,Spanish        ,3/8/2013,personel       ,wiki.retail.com                                  ,0,LT,Lithuania                                    
198731,8/19/1951,F,English        ,3/8/2013,business       ,support.retail.com                               ,1,AX,?land Islands                                
205771,11/16/1960,F,Spanish        ,3/10/2013,personel       ,wiki.retail.com                                  ,0,LT,Lithuania                                    
209682,4/14/1952,F,French         ,3/10/2013,business       ,partner.retail.com                                  ,1,IE,Ireland                                      
217055,9/1/1950,M,English        ,3/10/2013,business       ,info.retail.com                            ,1,NL,Netherlands                                  
223198,4/14/1958,F,Spanish        ,3/5/2013,personel       ,www.retail.com                                   ,0,NZ,New Zealand                                  
225635,11/22/1957,M,English        ,3/8/2013,personel       ,partner.retail.com                                  ,0,HK,Hong Kong                                    
235603,5/21/1952,F,Spanish        ,3/6/2013,business       ,www.retail.com                                   ,1,GR,Greece                                       
236745,6/4/1951,M,Spanish        ,3/7/2013,business       ,support.retail.com                               ,1,EG,Egypt                                        
244692,9/2/1954,M,English        ,3/6/2013,business       ,partner.retail.com                                  ,1,DZ,Algeria                                      
247949,8/17/1952,F,Spanish        ,3/8/2013,business       ,www.retail.com                                   ,1,GR,Greece                                       
279878,12/29/1954,F,English        ,3/6/2013,personel       ,wiki.retail.com                                  ,0,SG,Singapore                                    
292151,5/28/1950,F,Spanish        ,3/9/2013,personel       ,showcase.retail.com                                  ,0,IL,Israel                                       
292398,8/3/1959,F,Spanish        ,3/6/2013,business       ,www.retail.com                                   ,1,AT,Austria                                      
293977,10/8/1957,M,English        ,3/6/2013,business       ,www.retail.com                                   ,1,PL,Poland                                       
299338,9/1/1953,F,Spanish        ,3/8/2013,business       ,www.retail.com                                   ,1,AF,Afghanistan                                  
307704,8/1/1957,F,Spanish        ,3/11/2013,business       ,wiki.retail.com                                  ,1,TR,Turkey                                       
308586,2/20/1951,F,English        ,3/7/2013,business       ,www.retail.com                                   ,1,AT,Austria                                      
317236,10/7/1958,F,French         ,3/5/2013,business       ,support.retail.com                               ,1,LT,Lithuania                                    
320332,1/28/1958,F,French         ,3/10/2013,personel       ,showcase.retail.com                                  ,0,KH,Cambodia                                     
321991,11/17/1955,M,French         ,3/11/2013,business       ,partner.retail.com                                  ,1,CA,Canada                                       
327918,5/21/1950,M,Spanish        ,3/8/2013,business       ,showcase.retail.com                                  ,1,NL,Netherlands                                  
345858,1/31/1956,F,Spanish        ,3/10/2013,business       ,wiki.retail.com                                  ,1,SE,Sweden                                       
348941,2/15/1952,F,Spanish        ,3/7/2013,business       ,www.retail.com                                   ,1,RW,Rwanda                                       
363605,2/1/1957,F,French         ,3/5/2013,business       ,wiki.retail.com                                  ,1,DO,Dominican Republic                           
368035,6/10/1954,F,Spanish        ,3/6/2013,personel       ,www.retail.com                                   ,0,DZ,Algeria                                      
371933,10/11/1958,F,English        ,3/10/2013,personel       ,showcase.retail.com                                  ,0,ES,Spain                                        
373896,12/3/1951,F,Spanish        ,3/10/2013,personel       ,www.retail.com                                   ,0,NZ,New Zealand                                  
378139,2/1/1952,F,French         ,3/8/2013,business       ,info.retail.com                            ,1,BG,Bulgaria                                     
380772,10/6/1951,F,English        ,3/10/2013,business       ,www.retail.com                                   ,1,AT,Austria                                      
381710,1/16/1953,F,Spanish        ,3/9/2013,business       ,partner.retail.com                                  ,1,EC,Ecuador                                      
382252,3/12/1952,M,French         ,3/8/2013,business       ,info.retail.com                            ,1,PK,Pakistan                                     
391055,12/25/1956,M,English        ,3/6/2013,business       ,support.retail.com                               ,1,PA,Panama                                       
395196,3/13/1960,F,Spanish        ,3/6/2013,business       ,support.retail.com                               ,1,EE,Estonia                                      
398338,3/10/1952,F,English        ,3/6/2013,business       ,www.retail.com                                   ,1,AT,Austria                                      
411218,3/5/1957,M,Spanish        ,3/10/2013,business       ,support.retail.com                               ,1,EG,Egypt                                        
415347,11/6/1955,F,Spanish        ,3/7/2013,business       ,wiki.retail.com                                  ,1,CH,Switzerland                                  
421723,4/9/1950,F,Spanish        ,3/8/2013,business       ,wiki.retail.com                                  ,1,TR,Turkey                                       
421982,3/5/1956,F,Spanish        ,3/8/2013,personel       ,wiki.retail.com                                  ,0,LT,Lithuania                                    
426421,8/24/1953,M,French         ,3/8/2013,personel       ,support.retail.com                               ,0,KR,"Korea, Republic of                           "
431566,3/13/1958,F,English        ,3/6/2013,personel       ,wiki.retail.com                                  ,0,BF,Burkina Faso                                 
436345,5/15/1952,M,French         ,3/5/2013,personel       ,www.retail.com                                   ,0,KH,Cambodia                                     
437757,5/25/1950,F,Spanish        ,3/9/2013,personel       ,wiki.retail.com                                  ,0,LT,Lithuania                                    
446993,9/9/1950,M,English        ,3/11/2013,business       ,info.retail.com                            ,1,NL,Netherlands                                  
447293,3/31/1957,F,Spanish        ,3/9/2013,personel       ,wiki.retail.com                                  ,0,LT,Lithuania                                    
451278,6/12/1954,M,English        ,3/11/2013,personel       ,support.retail.com                               ,0,KP,"Korea, Democratic People's Republic of       "
451738,4/13/1957,F,English        ,3/9/2013,business       ,info.retail.com                            ,1,RW,Rwanda                                       
454169,11/17/1954,M,French         ,3/5/2013,personel       ,www.retail.com                                   ,0,KH,Cambodia                                     
458081,10/28/1950,F,French         ,3/9/2013,personel       ,www.retail.com                                   ,0,PS,"Palestinian Territory, Occupied              "
475606,9/8/1956,F,Spanish        ,3/9/2013,personel       ,www.retail.com                                   ,0,CH,Switzerland                                  
480861,10/1/1956,M,English        ,3/5/2013,business       ,info.retail.com                            ,1,NL,Netherlands                                  
483496,2/9/1960,F,Spanish        ,3/10/2013,business       ,partner.retail.com                                  ,1,EC,Ecuador                                      
483898,3/25/1952,F,English        ,3/7/2013,business       ,www.retail.com                                   ,1,AT,Austria                                      
486738,11/18/1958,F,French         ,3/6/2013,personel       ,www.retail.com                                   ,0,NL,Netherlands                                  
489689,5/23/1955,M,Spanish        ,3/7/2013,business       ,support.retail.com                               ,1,EG,Egypt                                        
490265,12/17/1957,F,Spanish        ,3/10/2013,personel       ,www.retail.com                                   ,0,MY,Malaysia                                     
507420,2/8/1959,F,English        ,3/5/2013,business       ,www.retail.com                                   ,1,AT,Austria                                      
516254,2/28/1956,M,Spanish        ,3/5/2013,business       ,showcase.retail.com                                  ,1,BG,Bulgaria                                     
517164,3/7/1959,M,French         ,3/9/2013,personel       ,www.retail.com                                   ,0,KH,Cambodia                                     
521206,6/25/1958,F,English        ,3/9/2013,personel       ,support.retail.com                               ,0,PR,Puerto Rico                                  
521742,1/2/1951,F,English        ,3/10/2013,business       ,www.retail.com                                   ,1,AT,Austria                                      
527357,10/14/1950,F,French         ,3/11/2013,personel       ,support.retail.com                               ,0,KH,Cambodia                                     
529127,11/9/1954,F,English        ,3/8/2013,business       ,support.retail.com                               ,1,IR,"Iran, Islamic Republic of                    "
530995,7/12/1952,F,Spanish        ,3/6/2013,personel       ,wiki.retail.com                                  ,0,LT,Lithuania                                    
532517,4/13/1953,F,English        ,3/5/2013,personel       ,partner.retail.com                                  ,0,LT,Lithuania                                    
534647,4/20/1957,F,English        ,3/8/2013,business       ,support.retail.com                               ,1,AX,?land Islands                                
537814,8/11/1952,F,Spanish        ,3/5/2013,personel       ,wiki.retail.com                                  ,0,LT,Lithuania                                    
540787,9/25/1958,F,Spanish        ,3/11/2013,personel       ,partner.retail.com                                  ,0,AW,Aruba                                        
540832,1/14/1958,M,Spanish        ,3/5/2013,business       ,support.retail.com                               ,1,EG,Egypt                                        
543009,10/17/1952,F,French         ,3/10/2013,personel       ,wiki.retail.com                                  ,0,AW,Aruba                                        
543201,1/31/1953,F,English        ,3/10/2013,business       ,wiki.retail.com                                  ,1,NL,Netherlands                                  
548157,8/31/1956,M,Spanish        ,3/9/2013,business       ,partner.retail.com                                  ,1,TV,Tuvalu                                       
549100,11/17/1950,F,Spanish        ,3/5/2013,business       ,partner.retail.com                                  ,1,IR,"Iran, Islamic Republic of                    "
551672,1/4/1957,F,Spanish        ,3/6/2013,personel       ,info.retail.com                            ,0,SE,Sweden                                       
563249,9/28/1954,M,English        ,3/6/2013,personel       ,wiki.retail.com                                  ,0,HR,Croatia                                      
564993,2/13/1955,F,French         ,3/7/2013,personel       ,www.retail.com                                   ,0,BR,Brazil                                       
566908,9/13/1960,F,French         ,3/5/2013,personel       ,wiki.retail.com                                  ,0,NA,Namibia                                      
578998,1/3/1956,M,Spanish        ,3/10/2013,business       ,support.retail.com                               ,1,EG,Egypt                                        
592732,11/18/1952,F,Spanish        ,3/5/2013,business       ,info.retail.com                            ,1,HT,Haiti                                        
594860,6/22/1957,F,English        ,3/6/2013,business       ,www.retail.com                                   ,1,AT,Austria                                      
601230,7/17/1952,M,English        ,3/7/2013,business       ,info.retail.com                            ,1,NL,Netherlands                                  
608219,1/31/1960,F,Spanish        ,3/6/2013,business       ,partner.retail.com                                  ,1,LU,Luxembourg                                   
613368,4/13/1958,M,English        ,3/10/2013,business       ,info.retail.com                            ,1,NL,Netherlands                                  
614475,2/15/1951,F,English        ,3/5/2013,personel       ,wiki.retail.com                                  ,0,ES,Spain                                        
616491,12/31/1953,M,Spanish        ,3/6/2013,business       ,support.retail.com                               ,1,UG,Uganda                                       
620576,8/6/1951,F,English        ,3/10/2013,business       ,www.retail.com                                   ,1,AT,Austria                                      
624153,10/7/1955,F,English        ,3/9/2013,personel       ,support.retail.com                               ,0,TR,Turkey                                       
626710,10/22/1951,F,English        ,3/7/2013,business       ,www.retail.com                                   ,1,AT,Austria                                      
636158,12/11/1960,F,English        ,3/9/2013,business       ,info.retail.com                            ,1,KM,Comoros                                      
651411,7/30/1954,F,English        ,3/9/2013,personel       ,www.retail.com                                   ,0,LU,Luxembourg                                   
652111,11/30/1960,F,French         ,3/10/2013,business       ,support.retail.com                               ,1,LV,Latvia                                       
652746,1/9/1955,F,Spanish        ,3/11/2013,business       ,www.retail.com                                   ,1,PE,Peru                                         
652865,3/25/1955,M,French         ,3/11/2013,personel       ,www.retail.com                                   ,0,KH,Cambodia                                     
654337,6/24/1960,F,French         ,3/5/2013,business       ,wiki.retail.com                                  ,1,ZW,Zimbabwe                                     
664679,6/23/1951,F,French         ,3/7/2013,personel       ,support.retail.com                               ,0,LY,Libya                                        
665357,7/31/1960,M,English        ,3/6/2013,personel       ,www.retail.com                                   ,0,AG,Antigua and Barbuda                          
671965,9/22/1951,M,English        ,3/11/2013,personel       ,www.retail.com                                   ,0,SE,Sweden                                       
689530,3/10/1953,M,French         ,3/7/2013,business       ,partner.retail.com                                  ,1,AG,Antigua and Barbuda                          
691290,7/5/1960,F,English        ,3/5/2013,business       ,partner.retail.com                                  ,1,MA,Morocco                                      
697281,9/23/1951,F,English        ,3/8/2013,business       ,www.retail.com                                   ,1,AT,Austria                                      
697671,6/22/1960,F,English        ,3/10/2013,personel       ,partner.retail.com                                  ,0,US,United States                                
698405,8/27/1954,M,English        ,3/11/2013,business       ,www.retail.com                                   ,1,HU,Hungary                                      
706483,3/10/1951,F,Spanish        ,3/5/2013,personel       ,showcase.retail.com                                  ,0,BF,Burkina Faso                                 
708668,3/30/1953,F,Spanish        ,3/8/2013,personel       ,wiki.retail.com                                  ,0,PA,Panama                                       
711195,7/13/1958,F,Spanish        ,3/10/2013,personel       ,wiki.retail.com                                  ,0,ID,Indonesia                                    
712931,12/23/1954,M,English        ,3/11/2013,personel       ,wiki.retail.com                                  ,0,DO,Dominican Republic                           
714399,12/13/1958,F,English        ,3/7/2013,business       ,www.retail.com                                   ,1,AT,Austria                                      
730852,3/26/1957,F,Spanish        ,3/7/2013,business       ,www.retail.com                                   ,1,PE,Peru                                         
738456,4/12/1954,F,English        ,3/7/2013,business       ,support.retail.com                               ,1,AX,?land Islands                                
740076,7/10/1954,F,English        ,3/11/2013,personel       ,partner.retail.com                                  ,0,PR,Puerto Rico                                  
740289,10/29/1953,F,French         ,3/8/2013,personel       ,wiki.retail.com                                  ,0,LK,Sri Lanka                                    
750757,1/19/1959,M,English        ,3/10/2013,business       ,info.retail.com                            ,1,NL,Netherlands                                  
773262,10/30/1950,F,Spanish        ,3/11/2013,business       ,partner.retail.com                                  ,1,LC,Saint Lucia                                  
773604,4/11/1955,M,French         ,3/9/2013,business       ,wiki.retail.com                                  ,1,US,United States                                
776797,1/11/1952,M,French         ,3/5/2013,personel       ,wiki.retail.com                                  ,0,IE,Ireland                                      
778479,1/13/1956,F,English        ,3/8/2013,personel       ,partner.retail.com                                  ,0,LT,Lithuania                                    
785172,6/11/1960,F,French         ,3/5/2013,business       ,www.retail.com                                   ,1,IE,Ireland                                      
785977,12/9/1959,F,French         ,3/8/2013,personel       ,wiki.retail.com                                  ,0,SG,Singapore                                    
790818,9/6/1952,F,English        ,3/5/2013,business       ,wiki.retail.com                                  ,1,IR,"Iran, Islamic Republic of                    "
796677,5/8/1950,F,Spanish        ,3/9/2013,personel       ,wiki.retail.com                                  ,0,ID,Indonesia                                    
804230,12/20/1952,M,Spanish        ,3/10/2013,personel       ,wiki.retail.com                                  ,0,AU,Australia                                    
804444,7/20/1960,F,English        ,3/6/2013,personel       ,www.retail.com                                   ,0,KW,Kuwait                                       
806801,12/20/1959,M,English        ,3/5/2013,business       ,info.retail.com                            ,1,NL,Netherlands                                  
814425,11/30/1959,M,French         ,3/10/2013,personel       ,support.retail.com                               ,0,KR,"Korea, Republic of                           "
815893,10/6/1956,F,English        ,3/6/2013,personel       ,wiki.retail.com                                  ,0,ES,Spain                                        
822845,2/6/1952,F,Spanish        ,3/10/2013,business       ,partner.retail.com                                  ,1,GB,United Kingdom                               
832752,8/4/1955,M,French         ,3/6/2013,personel       ,www.retail.com                                   ,0,SA,Saudi Arabia                                 
844025,10/28/1955,F,English        ,3/8/2013,personel       ,partner.retail.com                                  ,0,LT,Lithuania                                    
857544,9/18/1951,F,English        ,3/6/2013,personel       ,www.retail.com                                   ,0,ID,Indonesia                                    
857829,8/12/1954,F,French         ,3/11/2013,personel       ,showcase.retail.com                                  ,0,UA,Ukraine                                      
860805,2/6/1958,F,Spanish        ,3/5/2013,business       ,wiki.retail.com                                  ,1,CA,Canada                                       
863963,2/10/1955,F,French         ,3/5/2013,personel       ,www.retail.com                                   ,0,NL,Netherlands                                  
865794,2/11/1955,F,Spanish        ,3/11/2013,personel       ,support.retail.com                               ,0,PT,Portugal                                     
880141,2/15/1954,F,English        ,3/8/2013,business       ,support.retail.com                               ,1,TR,Turkey                                       
881506,4/27/1951,F,Spanish        ,3/11/2013,business       ,www.retail.com                                   ,1,GR,Greece                                       
889391,9/24/1958,F,Spanish        ,3/10/2013,personel       ,support.retail.com                               ,0,IQ,Iraq                                         
900024,4/13/1956,F,French         ,3/11/2013,personel       ,support.retail.com                               ,0,PA,Panama                                       
910285,10/24/1960,F,French         ,3/7/2013,business       ,wiki.retail.com                                  ,1,LV,Latvia                                       
918775,11/26/1952,F,French         ,3/6/2013,personel       ,support.retail.com                               ,0,FI,Finland                                      
922428,5/13/1950,M,French         ,3/11/2013,business       ,partner.retail.com                                  ,1,OM,Oman                                         
923868,9/17/1959,F,Spanish        ,3/10/2013,business       ,wiki.retail.com                                  ,1,GB,United Kingdom                               
927435,8/8/1956,M,English        ,3/11/2013,business       ,info.retail.com                            ,1,NL,Netherlands                                  
929744,7/24/1953,M,Spanish        ,3/8/2013,business       ,www.retail.com                                   ,1,UY,Uruguay                                      
932562,1/16/1955,M,French         ,3/7/2013,business       ,support.retail.com                               ,1,KI,Kiribati                                     
934318,5/10/1952,F,French         ,3/7/2013,business       ,wiki.retail.com                                  ,1,ES,Spain                                        
955015,3/16/1958,F,Spanish        ,3/11/2013,personel       ,showcase.retail.com                                  ,0,IL,Israel                                       
967274,1/8/1954,M,English        ,3/6/2013,business       ,support.retail.com                               ,1,PA,Panama                                       
973746,1/19/1952,F,English        ,3/7/2013,personel       ,support.retail.com                               ,0,DO,Dominican Republic                           
974546,6/1/1956,M,French         ,3/7/2013,personel       ,www.retail.com                                   ,0,KH,Cambodia                                     
976031,1/15/1957,M,English        ,3/11/2013,business       ,support.retail.com                               ,1,MC,Monaco                                       
976679,9/2/1954,M,Spanish        ,3/10/2013,business       ,support.retail.com                               ,1,EG,Egypt                                        
987986,12/16/1950,F,French         ,3/6/2013,business       ,wiki.retail.com                                  ,1,ES,Spain                                        
989103,10/4/1959,F,Spanish        ,3/6/2013,business       ,wiki.retail.com                                  ,1,LK,Sri Lanka                                    
989926,1/24/1955,F,Spanish        ,3/7/2013,business       ,www.retail.com                                   ,1,DZ,Algeria                                      
992260,8/7/1957,F,Spanish        ,3/9/2013,business       ,partner.retail.com                                  ,1,LU,Luxembourg                                   
994336,11/14/1957,F,English        ,3/11/2013,business       ,www.retail.com                                   ,1,CM,Cameroon                                     
1000465,4/7/1955,M,Spanish        ,3/5/2013,business       ,support.retail.com                               ,1,EG,Egypt                                        
1003290,8/19/1958,M,French         ,3/5/2013,personel       ,wiki.retail.com                                  ,0,ES,Spain                                        
1007769,3/6/1953,F,Spanish        ,3/7/2013,business       ,www.retail.com                                   ,1,RU,Russian Federation                           
1013812,9/15/1955,F,French         ,3/8/2013,business       ,support.retail.com                               ,1,BB,Barbados                                     
1020435,2/13/1958,F,English        ,3/5/2013,personel       ,www.retail.com                                   ,0,SA,Saudi Arabia                                 
1024249,4/27/1960,M,English        ,3/6/2013,business       ,www.retail.com                                   ,1,HU,Hungary                                      
1025540,8/25/1958,F,Spanish        ,3/10/2013,business       ,www.retail.com                                   ,1,GR,Greece                                       
1027451,3/11/1953,M,French         ,3/6/2013,business       ,support.retail.com                               ,1,FR,France                                       
1030868,10/12/1957,M,French         ,3/5/2013,personel       ,www.retail.com                                   ,0,KH,Cambodia                                     
1037456,12/24/1951,M,English        ,3/7/2013,business       ,www.retail.com                                   ,1,LK,Sri Lanka                                    
1038028,12/1/1951,F,Spanish        ,3/9/2013,business       ,partner.retail.com                                  ,1,EC,Ecuador                                      
1048033,8/10/1959,M,English        ,3/9/2013,business       ,wiki.retail.com                                  ,1,LC,Saint Lucia                                  
1053395,7/2/1950,M,English        ,3/6/2013,personel       ,support.retail.com                               ,0,NL,Netherlands                                  
1055176,12/14/1954,M,French         ,3/7/2013,personel       ,wiki.retail.com                                  ,0,IE,Ireland                                      
1060338,5/25/1952,M,French         ,3/9/2013,personel       ,support.retail.com                               ,0,AE,United Arab Emirates                         
1075368,8/30/1952,M,French         ,3/11/2013,business       ,partner.retail.com                                  ,1,BF,Burkina Faso                                 
1081262,1/4/1959,F,English        ,3/6/2013,business       ,wiki.retail.com                                  ,1,US,United States                                
1087299,2/5/1953,F,Spanish        ,3/5/2013,business       ,wiki.retail.com                                  ,1,TR,Turkey                                       
1092158,7/15/1952,M,Spanish        ,3/6/2013,business       ,support.retail.com                               ,1,EG,Egypt                                        
1098144,5/3/1953,F,French         ,3/5/2013,personel       ,support.retail.com                               ,0,LY,Libya                                        
1100496,11/17/1960,F,French         ,3/11/2013,business       ,wiki.retail.com                                  ,1,PE,Peru                                         
1128665,9/16/1960,F,English        ,3/9/2013,personel       ,support.retail.com                               ,0,DO,Dominican Republic                           
1134353,2/9/1956,M,English        ,3/11/2013,business       ,partner.retail.com                                  ,1,GB,United Kingdom                               
1141928,10/1/1951,F,Spanish        ,3/11/2013,business       ,www.retail.com                                   ,1,GR,Greece                                       
1142145,10/16/1950,F,Spanish        ,3/8/2013,personel       ,wiki.retail.com                                  ,0,PS,"Palestinian Territory, Occupied              "
1155271,9/16/1955,M,French         ,3/8/2013,personel       ,www.retail.com                                   ,0,KH,Cambodia                                     
1158810,5/31/1956,F,Spanish        ,3/5/2013,personel       ,www.retail.com                                   ,0,JP,Japan                                        
1169936,9/9/1951,F,English        ,3/7/2013,personel       ,info.retail.com                            ,0,IT,Italy                                        
1171950,2/9/1955,F,Spanish        ,3/6/2013,business       ,www.retail.com                                   ,1,ET,Ethiopia                                     
1179156,2/23/1951,F,Spanish        ,3/11/2013,business       ,www.retail.com                                   ,1,PE,Peru                                         
1182504,1/19/1953,M,French         ,3/11/2013,personel       ,support.retail.com                               ,0,AE,United Arab Emirates                         
1183026,10/27/1955,M,Spanish        ,3/5/2013,business       ,info.retail.com                            ,1,KM,Comoros                                      
1194519,1/30/1953,M,English        ,3/11/2013,business       ,info.retail.com                            ,1,NL,Netherlands                                  
1195087,11/14/1958,F,French         ,3/5/2013,business       ,support.retail.com                               ,1,MZ,Mozambique                                   
1200152,4/10/1956,M,French         ,3/9/2013,business       ,wiki.retail.com                                  ,1,KM,Comoros                                      
1204820,3/31/1952,F,French         ,3/6/2013,business       ,partner.retail.com                                  ,1,ZA,South Africa                                 
1216144,5/5/1955,M,French         ,3/11/2013,personel       ,www.retail.com                                   ,0,ZA,South Africa                                 
1224438,4/15/1953,M,Spanish        ,3/7/2013,business       ,support.retail.com                               ,1,EG,Egypt                                        
1225443,12/9/1950,M,Spanish        ,3/7/2013,personel       ,wiki.retail.com                                  ,0,PS,"Palestinian Territory, Occupied              "
1236443,1/15/1951,M,French         ,3/5/2013,personel       ,wiki.retail.com                                  ,0,IE,Ireland                                      
1250009,12/7/1958,M,French         ,3/11/2013,personel       ,www.retail.com                                   ,0,AW,Aruba                                        
1250364,1/17/1955,M,French         ,3/5/2013,business       ,www.retail.com                                   ,1,GB,United Kingdom                               
1251906,11/3/1959,F,English        ,3/6/2013,personel       ,wiki.retail.com                                  ,0,HK,Hong Kong                                    
1252574,6/7/1954,M,French         ,3/5/2013,business       ,wiki.retail.com                                  ,1,US,United States                                
1255455,3/1/1956,F,English        ,3/11/2013,personel       ,support.retail.com                               ,0,ES,Spain                                        
1260653,12/4/1955,F,Spanish        ,3/11/2013,business       ,support.retail.com                               ,1,UG,Uganda                                       
1273252,5/22/1954,M,Spanish        ,3/11/2013,personel       ,www.retail.com                                   ,0,SA,Saudi Arabia                                 
1274232,10/28/1960,F,Spanish        ,3/5/2013,business       ,www.retail.com                                   ,1,RW,Rwanda                                       
1274483,4/23/1952,F,Spanish        ,3/7/2013,business       ,partner.retail.com                                  ,1,GB,United Kingdom                               
1276579,9/8/1955,F,French         ,3/5/2013,business       ,support.retail.com                               ,1,SG,Singapore                                    
