CUSTOMERNAME,SALES,PHONE,CITY,STATE,COUNTRY,POSTALCODE
Mini Gifts Distributors Ltd.       ,5691.8,4155551450       ,San Rafael     ,CA             ,United States  ,97562       
Collectables For Less Inc.         ,4514.9,6175558555       ,Brickhaven     ,MA             ,USA            ,58339       
Corporate Gift Ideas Co.           ,8254.8,6505551386       ,San Francisco  ,CA             ,USA            ,            
"Anna's Decorations, Ltd            ",2416.6,02 9936 8555     ,North Sydney   ,NSW            ,Australia      ,2060        
Qu‚bec Home Shopping Network       ,4140.2,(514) 555-8054   ,Montr‚al       ,Qu‚bec         ,Canada         ,H1J 1C3     
Euro+ Shopping Channel             ,12001,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Land of Toys Inc.                  ,3896.5,2125557818       ,NYC            ,NY             ,USA            ,10022       
"Australian Collectors, Co.         ",2793.9,03 9520 4555     ,Melbourne      ,Victoria       ,Australia      ,3004        
Lyon Souveniers                    ,3307.8,+33 1 46 62 7555 ,Paris          ,               ,France         ,75508       
Toys4GrownUps.com                  ,5192.9,6265557265       ,Pasadena       ,CA             ,USA            ,90003       
Corporate Gift Ideas Co.           ,5016.8,6505551386       ,San Francisco  ,CA             ,USA            ,            
Technics Stores Inc.               ,3660.9,6505556809       ,Burlingame     ,CA             ,USA            ,94217       
Daedalus Designs Imports           ,4695.6,20.16.1555       ,Lille          ,               ,France         ,59000       
Herkku Gifts                       ,3660.9,+47 2267 3215    ,Bergen         ,               ,Norway         ,N 5804      
Mini Wheels Co.                    ,3025.9,6505555787       ,San Francisco  ,CA             ,USA            ,            
Osaka Souveniers Co.               ,3009.1,+81 06 6342 5555 ,Osaka          ,Osaka          ,Japan          ,530-0003    
"Australian Collectors, Co.         ",5422.4,03 9520 4555     ,Melbourne      ,Victoria       ,Australia      ,3004        
Motor Mint Distributors Inc.       ,2852.1,2155559857       ,Philadelphia   ,PA             ,USA            ,71270       
Tekni Collectables Inc.            ,5756.5,2015559350       ,Newark         ,NJ             ,USA            ,94019       
Gift Depot Inc.                    ,4472,2035552570       ,Bridgewater    ,CT             ,USA            ,97562       
La Rochelle Gifts                  ,2904.4,40.67.8555       ,Nantes         ,               ,France         ,44000       
Marta's Replicas Co.               ,6484.6,6175558555       ,Cambridge      ,MA             ,USA            ,51247       
Atelier graphique                  ,3757.3,40.32.2555       ,Nantes         ,               ,France         ,44000       
Mini Classics                      ,4044,9145554562       ,White Plains   ,NY             ,USA            ,24067       
Diecast Classics Inc.              ,5566.5,2155551555       ,Allentown      ,PA             ,USA            ,70267       
Land of Toys Inc.                  ,3176,2125557818       ,NYC            ,NY             ,USA            ,10022       
"Tokyo Collectables, Ltd            ",2756.8,+81 3 3584 0555  ,Minato-ku      ,Tokyo          ,Japan          ,106-0032    
Souveniers And Things Co.          ,1329.9,+61 2 9495 8555  ,Chatswood      ,NSW            ,Australia      ,2067        
"Australian Gift Network, Co        ",5288,61-7-3844-6555   ,South Brisbane ,Queensland     ,Australia      ,4101        
FunGiftIdeas.com                   ,2225.5,5085552555       ,New Bedford    ,MA             ,USA            ,50553       
Auto Canal+ Petit                  ,5833.8,(1) 47.55.6555   ,Paris          ,               ,France         ,75016       
Euro+ Shopping Channel             ,5887.4,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Land of Toys Inc.                  ,6065.6,2125557818       ,NYC            ,NY             ,USA            ,10022       
"Australian Collectors, Co.         ",9264.9,03 9520 4555     ,Melbourne      ,Victoria       ,Australia      ,3004        
Lyon Souveniers                    ,7024,+33 1 46 62 7555 ,Paris          ,               ,France         ,75508       
Toys4GrownUps.com                  ,5176.4,6265557265       ,Pasadena       ,CA             ,USA            ,90003       
Corporate Gift Ideas Co.           ,4132.7,6505551386       ,San Francisco  ,CA             ,USA            ,            
Technics Stores Inc.               ,4183,6505556809       ,Burlingame     ,CA             ,USA            ,94217       
Daedalus Designs Imports           ,8892.9,20.16.1555       ,Lille          ,               ,France         ,59000       
Herkku Gifts                       ,8714.7,+47 2267 3215    ,Bergen         ,               ,Norway         ,N 5804      
Mini Wheels Co.                    ,8065.9,6505555787       ,San Francisco  ,CA             ,USA            ,            
Osaka Souveniers Co.               ,6123.4,+81 06 6342 5555 ,Osaka          ,Osaka          ,Japan          ,530-0003    
"Australian Collectors, Co.         ",9774,03 9520 4555     ,Melbourne      ,Victoria       ,Australia      ,3004        
Vitachrome Inc.                    ,7023.9,2125551500       ,NYC            ,NY             ,USA            ,10022       
Tekni Collectables Inc.            ,7078.2,2015559350       ,Newark         ,NJ             ,USA            ,94019       
Gift Depot Inc.                    ,8336.9,2035552570       ,Bridgewater    ,CT             ,USA            ,97562       
La Rochelle Gifts                  ,6901.9,40.67.8555       ,Nantes         ,               ,France         ,44000       
Marta's Replicas Co.               ,5438.1,6175558555       ,Cambridge      ,MA             ,USA            ,51247       
"Toys of Finland, Co.               ",6683.3,90-224 8555      ,Helsinki       ,               ,Finland        ,21240       
Mini Classics                      ,4570.4,9145554562       ,White Plains   ,NY             ,USA            ,24067       
Diecast Classics Inc.              ,7667.1,2155551555       ,Allentown      ,PA             ,USA            ,70267       
Land of Toys Inc.                  ,5868.2,2125557818       ,NYC            ,NY             ,USA            ,10022       
"Tokyo Collectables, Ltd            ",2990.1,+81 3 3584 0555  ,Minato-ku      ,Tokyo          ,Japan          ,106-0032    
Technics Stores Inc.               ,3664.1,6505556809       ,Burlingame     ,CA             ,USA            ,94217       
"Australian Gift Network, Co        ",3834.4,61-7-3844-6555   ,South Brisbane ,Queensland     ,Australia      ,4101        
FunGiftIdeas.com                   ,1822.2,5085552555       ,New Bedford    ,MA             ,USA            ,50553       
"UK Collectables, Ltd.              ",11886.6,(171) 555-2282   ,Liverpool      ,               ,UK             ,WX1 6LT     
Euro+ Shopping Channel             ,9218.2,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Danish Wholesale Imports           ,7208,31 12 3555       ,Kobenhavn      ,               ,Denmark        ,1734        
Salzburg Collectables              ,5004.8,6562-9555        ,Salzburg       ,               ,Austria        ,5020        
"Stylish Desk Decors, Co.           ",4398.2,(171) 555-0297   ,London         ,               ,UK             ,WX3 6FW     
Mini Creations Ltd.                ,5597.8,5085559555       ,New Bedford    ,MA             ,USA            ,50553       
"Toys of Finland, Co.               ",4526.1,90-224 8555      ,Helsinki       ,               ,Finland        ,21240       
Scandinavian Gift Ideas            ,5924.2,0695-34 6555     ,Br„cke         ,               ,Sweden         ,S-844 67    
Alpha Cognac                       ,3492.5,61.77.6555       ,Toulouse       ,               ,France         ,31000       
"Double Decker Gift Stores, Ltd     ",3854.2,(171) 555-7555   ,London         ,               ,UK             ,WA1 1DP     
Enaco Distributors                 ,5324.4,(93) 203 4555    ,Barcelona      ,               ,Spain          ,08022       
"Men 'R' US Retailers, Ltd.         ",5197.9,2155554369       ,Los Angeles    ,CA             ,USA            ,            
Collectable Mini Designs Co.       ,5997.6,7605558146       ,San Diego      ,CA             ,USA            ,91217       
Land of Toys Inc.                  ,2910.4,2125557818       ,NYC            ,NY             ,USA            ,10022       
Qu‚bec Home Shopping Network       ,3378.2,(514) 555-8054   ,Montr‚al       ,Qu‚bec         ,Canada         ,H1J 1C3     
Petit Auto                         ,3508.8,(02) 5554 67     ,Bruxelles      ,               ,Belgium        ,B-1180      
"Royal Canadian Collectables, Ltd.  ",2992,(604) 555-4555   ,Tsawassen      ,BC             ,Canada         ,T2F 8M4     
Gifts4AllAges.com                  ,3427.2,6175559555       ,Boston         ,MA             ,USA            ,51003       
"Classic Gift Ideas, Inc            ",2692.8,2155554695       ,Philadelphia   ,PA             ,USA            ,71270       
giftsbymail.co.uk                  ,4129,(198) 555-8888   ,Cowes          ,Isle of Wight  ,UK             ,PO31 7PJ    
Baane Mini Imports                 ,3051.7,07-98 9555       ,Stavern        ,               ,Norway         ,4110        
Classic Legends Inc.               ,1201.2,2125558493       ,NYC            ,NY             ,USA            ,10022       
Euro+ Shopping Channel             ,1962.2,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Reims Collectables                 ,2624.6,26.47.1555       ,Reims          ,               ,France         ,51100       
"Oulu Toy Supplies, Inc.            ",4046.2,981-443655       ,Oulu           ,               ,Finland        ,90110       
Corporate Gift Ideas Co.           ,4846.7,6505551386       ,San Francisco  ,CA             ,USA            ,            
Lyon Souveniers                    ,3370.6,+33 1 46 62 7555 ,Paris          ,               ,France         ,75508       
The Sharp Gifts Warehouse          ,9661.4,4085553659       ,San Jose       ,CA             ,USA            ,94217       
Gifts4AllAges.com                  ,2764.9,6175559555       ,Boston         ,MA             ,USA            ,51003       
Baane Mini Imports                 ,5398.3,07-98 9555       ,Stavern        ,               ,Norway         ,4110        
"La Corne D'abondance, Co.          ",4305.3,(1) 42.34.2555   ,Paris          ,               ,France         ,75012       
"Corrida Auto Replicas, Ltd         ",3347.7,(91) 555 22 82   ,Madrid         ,               ,Spain          ,28023       
Technics Stores Inc.               ,3188.1,6505556809       ,Burlingame     ,CA             ,USA            ,94217       
"Dragon Souveniers, Ltd.            ",3191.2,+65 221 7555     ,Singapore      ,               ,Singapore      ,079903      
Mini Auto Werke                    ,3536.8,7675-3555        ,Graz           ,               ,Austria        ,8010        
"Stylish Desk Decors, Co.           ",5362.8,(171) 555-0297   ,London         ,               ,UK             ,WX3 6FW     
"Classic Gift Ideas, Inc            ",3433.4,2155554695       ,Philadelphia   ,PA             ,USA            ,71270       
"Saveley & Henriot, Co.             ",4263.7,78.32.5555       ,Lyon           ,               ,France         ,69004       
Diecast Collectables               ,4076.2,6175552555       ,Boston         ,MA             ,USA            ,51003       
Handji Gifts& Co                   ,7020.5,+65 224 1555     ,Singapore      ,               ,Singapore      ,069045      
Mini Gifts Distributors Ltd.       ,6426.5,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Super Scale Inc.                   ,4591.7,2035559545       ,New Haven      ,CT             ,USA            ,97823       
Handji Gifts& Co                   ,4033.4,+65 224 1555     ,Singapore      ,               ,Singapore      ,069045      
Souveniers And Things Co.          ,4302.1,+61 2 9495 8555  ,Chatswood      ,NSW            ,Australia      ,2067        
Diecast Classics Inc.              ,7020.6,2155551555       ,Allentown      ,PA             ,USA            ,70267       
Scandinavian Gift Ideas            ,3855.9,0695-34 6555     ,Br„cke         ,               ,Sweden         ,S-844 67    
Marta's Replicas Co.               ,6680.8,6175558555       ,Cambridge      ,MA             ,USA            ,51247       
Canadian Gift Exchange Network     ,6678,(604) 555-3392   ,Vancouver      ,BC             ,Canada         ,V3F 2K1     
Online Diecast Creations Co.       ,2851.5,6035558647       ,Nashua         ,NH             ,USA            ,62005       
"Volvo Model Replicas, Co           ",3188.1,0921-12 3555     ,Lule†          ,               ,Sweden         ,S-958 22    
"Australian Collectors, Co.         ",4428,03 9520 4555     ,Melbourne      ,Victoria       ,Australia      ,3004        
Mini Gifts Distributors Ltd.       ,5780.9,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
"Anna's Decorations, Ltd            ",2297.1,02 9936 8555     ,North Sydney   ,NSW            ,Australia      ,2060        
Corporate Gift Ideas Co.           ,6231.5,6505551386       ,San Francisco  ,CA             ,USA            ,            
"Anna's Decorations, Ltd            ",1735.3,02 9936 8555     ,North Sydney   ,NSW            ,Australia      ,2060        
Qu‚bec Home Shopping Network       ,4427.7,(514) 555-8054   ,Montr‚al       ,Qu‚bec         ,Canada         ,H1J 1C3     
La Rochelle Gifts                  ,5894.9,40.67.8555       ,Nantes         ,               ,France         ,44000       
Cruz & Sons Co.                    ,5265.1,+63 2 555 3587   ,Makati City    ,               ,Philippines    ,1227 MM     
Marseille Mini Autos               ,7599.9,91.24.4555       ,Marseille      ,               ,France         ,13008       
Mini Gifts Distributors Ltd.       ,8008.6,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Collectables For Less Inc.         ,9245.8,6175558555       ,Brickhaven     ,MA             ,USA            ,58339       
Corporate Gift Ideas Co.           ,8296.4,6505551386       ,San Francisco  ,CA             ,USA            ,            
"Anna's Decorations, Ltd            ",5019.9,02 9936 8555     ,North Sydney   ,NSW            ,Australia      ,2060        
Herkku Gifts                       ,5411.1,+47 2267 3215    ,Bergen         ,               ,Norway         ,N 5804      
"Toms Spezialit„ten, Ltd            ",3840.9,0221-5554327     ,K”ln           ,               ,Germany        ,50739       
Euro+ Shopping Channel             ,3930.4,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Auto Canal+ Petit                  ,7498.9,(1) 47.55.6555   ,Paris          ,               ,France         ,75016       
"Vida Sport, Ltd                    ",4517.9,0897-034555      ,GenŠve         ,               ,Switzerland    ,1203        
Danish Wholesale Imports           ,5774.7,31 12 3555       ,Kobenhavn      ,               ,Denmark        ,1734        
"UK Collectables, Ltd.              ",3922.6,(171) 555-2282   ,Liverpool      ,               ,UK             ,WX1 6LT     
L'ordine Souveniers                ,9160.4,0522-556555      ,Reggio Emilia  ,               ,Italy          ,42100       
Online Mini Collectables           ,9631,6175557555       ,Brickhaven     ,MA             ,USA            ,58339       
"Vida Sport, Ltd                    ",3432.2,0897-034555      ,GenŠve         ,               ,Switzerland    ,1203        
"Blauer See Auto, Co.               ",5521.9,+49 69 66 90 2555,Frankfurt      ,               ,Germany        ,60528       
"Toms Spezialit„ten, Ltd            ",6934.6,0221-5554327     ,K”ln           ,               ,Germany        ,50739       
"Volvo Model Replicas, Co           ",6876.1,0921-12 3555     ,Lule†          ,               ,Sweden         ,S-958 22    
Land of Toys Inc.                  ,2930.3,2125557818       ,NYC            ,NY             ,USA            ,10022       
Salzburg Collectables              ,3584.2,6562-9555        ,Salzburg       ,               ,Austria        ,5020        
Suominen Souveniers                ,2817.9,+358 9 8045 555  ,Espoo          ,               ,Finland        ,FIN-02271   
La Rochelle Gifts                  ,3420,40.67.8555       ,Nantes         ,               ,France         ,44000       
Scandinavian Gift Ideas            ,2575,0695-34 6555     ,Br„cke         ,               ,Sweden         ,S-844 67    
Salzburg Collectables              ,1961.3,6562-9555        ,Salzburg       ,               ,Austria        ,5020        
Danish Wholesale Imports           ,8690.4,31 12 3555       ,Kobenhavn      ,               ,Denmark        ,1734        
"Dragon Souveniers, Ltd.            ",6034.4,+65 221 7555     ,Singapore      ,               ,Singapore      ,079903      
Muscle Machine Inc                 ,11279.2,2125557413       ,NYC            ,NY             ,USA            ,10022       
Mini Gifts Distributors Ltd.       ,8023.3,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Euro+ Shopping Channel             ,4904,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
"Dragon Souveniers, Ltd.            ",8594.5,+65 221 7555     ,Singapore      ,               ,Singapore      ,079903      
L'ordine Souveniers                ,7474.5,0522-556555      ,Reggio Emilia  ,               ,Italy          ,42100       
Mini Creations Ltd.                ,3883.7,5085559555       ,New Bedford    ,MA             ,USA            ,50553       
Super Scale Inc.                   ,8887.7,2035559545       ,New Haven      ,CT             ,USA            ,97823       
"Saveley & Henriot, Co.             ",8602.9,78.32.5555       ,Lyon           ,               ,France         ,69004       
"Clover Collections, Co.            ",7181.4,+353 1862 1555   ,Dublin         ,               ,Ireland        ,2           
CAF Imports                        ,8378.6,+34 913 728 555  ,Madrid         ,               ,Spain          ,28023       
Suominen Souveniers                ,10606.2,+358 9 8045 555  ,Espoo          ,               ,Finland        ,FIN-02271   
Diecast Classics Inc.              ,5818.4,2155551555       ,Allentown      ,PA             ,USA            ,70267       
Mini Gifts Distributors Ltd.       ,7071.3,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Amica Models & Co.                 ,8411.6,011-4988555      ,Torino         ,               ,Italy          ,10100       
"AV Stores, Co.                     ",6570.8,(171) 555-1555   ,Manchester     ,               ,UK             ,EC2 5NT     
Heintze Collectables               ,7975.4,86 21 3555       ,?rhus          ,               ,Denmark        ,8200        
Baane Mini Imports                 ,2688,07-98 9555       ,Stavern        ,               ,Norway         ,4110        
"La Corne D'abondance, Co.          ",1888.3,(1) 42.34.2555   ,Paris          ,               ,France         ,75012       
"Corrida Auto Replicas, Ltd         ",2513.3,(91) 555 22 82   ,Madrid         ,               ,Spain          ,28023       
Reims Collectables                 ,4764.5,26.47.1555       ,Reims          ,               ,France         ,51100       
Mini Gifts Distributors Ltd.       ,3560.6,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Mini Gifts Distributors Ltd.       ,3823.6,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Lyon Souveniers                    ,2281,+33 1 46 62 7555 ,Paris          ,               ,France         ,75508       
Gift Depot Inc.                    ,8677.8,2035552570       ,Bridgewater    ,CT             ,USA            ,97562       
Baane Mini Imports                 ,3395,07-98 9555       ,Stavern        ,               ,Norway         ,4110        
Mini Gifts Distributors Ltd.       ,3415.4,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
"Corrida Auto Replicas, Ltd         ",2439.6,(91) 555 22 82   ,Madrid         ,               ,Spain          ,28023       
Technics Stores Inc.               ,4829.8,6505556809       ,Burlingame     ,CA             ,USA            ,94217       
"Dragon Souveniers, Ltd.            ",4100.1,+65 221 7555     ,Singapore      ,               ,Singapore      ,079903      
Mini Auto Werke                    ,6563.1,7675-3555        ,Graz           ,               ,Austria        ,8010        
"Australian Gift Network, Co        ",6817.2,61-7-3844-6555   ,South Brisbane ,Queensland     ,Australia      ,4101        
"Classic Gift Ideas, Inc            ",6163.9,2155554695       ,Philadelphia   ,PA             ,USA            ,71270       
"Saveley & Henriot, Co.             ",4933.9,78.32.5555       ,Lyon           ,               ,France         ,69004       
Canadian Gift Exchange Network     ,4056.4,(604) 555-3392   ,Vancouver      ,BC             ,Canada         ,V3F 2K1     
Auto Associ‚s & Cie.               ,5759.4,30.59.8555       ,Versailles     ,               ,France         ,78000       
Mini Gifts Distributors Ltd.       ,3451,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Super Scale Inc.                   ,5920.4,2035559545       ,New Haven      ,CT             ,USA            ,97823       
"Tokyo Collectables, Ltd            ",6668.2,+81 3 3584 0555  ,Minato-ku      ,Tokyo          ,Japan          ,106-0032    
Souveniers And Things Co.          ,4094.7,+61 2 9495 8555  ,Chatswood      ,NSW            ,Australia      ,2067        
Diecast Classics Inc.              ,2938.5,2155551555       ,Allentown      ,PA             ,USA            ,70267       
Scandinavian Gift Ideas            ,6387.8,0695-34 6555     ,Br„cke         ,               ,Sweden         ,S-844 67    
Auto Associ‚s & Cie.               ,6396,30.59.8555       ,Versailles     ,               ,France         ,78000       
Canadian Gift Exchange Network     ,2669.1,(604) 555-3392   ,Vancouver      ,BC             ,Canada         ,V3F 2K1     
Online Diecast Creations Co.       ,4784.1,6035558647       ,Nashua         ,NH             ,USA            ,62005       
Mini Wheels Co.                    ,3273.9,6505555787       ,San Francisco  ,CA             ,USA            ,            
"Australian Collectors, Co.         ",3586.4,03 9520 4555     ,Melbourne      ,Victoria       ,Australia      ,3004        
Mini Gifts Distributors Ltd.       ,5960.4,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
"Anna's Decorations, Ltd            ",8470.1,02 9936 8555     ,North Sydney   ,NSW            ,Australia      ,2060        
Corporate Gift Ideas Co.           ,2952,6505551386       ,San Francisco  ,CA             ,USA            ,            
"Anna's Decorations, Ltd            ",2464.8,02 9936 8555     ,North Sydney   ,NSW            ,Australia      ,2060        
Qu‚bec Home Shopping Network       ,6232,(514) 555-8054   ,Montr‚al       ,Qu‚bec         ,Canada         ,H1J 1C3     
Euro+ Shopping Channel             ,7969.4,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Land of Toys Inc.                  ,3036.6,2125557818       ,NYC            ,NY             ,USA            ,10022       
Reims Collectables                 ,8284,26.47.1555       ,Reims          ,               ,France         ,51100       
Lyon Souveniers                    ,2711.2,+33 1 46 62 7555 ,Paris          ,               ,France         ,75508       
Toys4GrownUps.com                  ,8339.8,6265557265       ,Pasadena       ,CA             ,USA            ,90003       
Corporate Gift Ideas Co.           ,6238.8,6505551386       ,San Francisco  ,CA             ,USA            ,            
"Anna's Decorations, Ltd            ",4639.2,02 9936 8555     ,North Sydney   ,NSW            ,Australia      ,2060        
Daedalus Designs Imports           ,6747.6,20.16.1555       ,Lille          ,               ,France         ,59000       
Toys4GrownUps.com                  ,4512.5,6265557265       ,Pasadena       ,CA             ,USA            ,90003       
Mini Wheels Co.                    ,4029,6505555787       ,San Francisco  ,CA             ,USA            ,            
Auto Canal+ Petit                  ,4771.8,(1) 47.55.6555   ,Paris          ,               ,France         ,75016       
Daedalus Designs Imports           ,6087.9,20.16.1555       ,Lille          ,               ,France         ,59000       
Vitachrome Inc.                    ,4193.3,2125551500       ,NYC            ,NY             ,USA            ,10022       
Tekni Collectables Inc.            ,7552.3,2015559350       ,Newark         ,NJ             ,USA            ,94019       
Gift Depot Inc.                    ,6434.4,2035552570       ,Bridgewater    ,CT             ,USA            ,97562       
Online Mini Collectables           ,5181.5,6175557555       ,Brickhaven     ,MA             ,USA            ,58339       
Marta's Replicas Co.               ,6863.9,6175558555       ,Cambridge      ,MA             ,USA            ,51247       
"Toys of Finland, Co.               ",4157,90-224 8555      ,Helsinki       ,               ,Finland        ,21240       
Baane Mini Imports                 ,4660.2,07-98 9555       ,Stavern        ,               ,Norway         ,4110        
Microscale Inc.                    ,4111.8,2125551957       ,NYC            ,NY             ,USA            ,10022       
Land of Toys Inc.                  ,3542.6,2125557818       ,NYC            ,NY             ,USA            ,10022       
Salzburg Collectables              ,8118.6,6562-9555        ,Salzburg       ,               ,Austria        ,5020        
Technics Stores Inc.               ,3877.1,6505556809       ,Burlingame     ,CA             ,USA            ,94217       
La Rochelle Gifts                  ,3867.1,40.67.8555       ,Nantes         ,               ,France         ,44000       
FunGiftIdeas.com                   ,5951.4,5085552555       ,New Bedford    ,MA             ,USA            ,50553       
"UK Collectables, Ltd.              ",8648.6,(171) 555-2282   ,Liverpool      ,               ,UK             ,WX1 6LT     
Euro+ Shopping Channel             ,3447.8,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
Euro+ Shopping Channel             ,5958.5,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
"Dragon Souveniers, Ltd.            ",5911.6,+65 221 7555     ,Singapore      ,               ,Singapore      ,079903      
Muscle Machine Inc                 ,7366.4,2125557413       ,NYC            ,NY             ,USA            ,10022       
Mini Gifts Distributors Ltd.       ,4985.6,4155551450       ,San Rafael     ,CA             ,USA            ,97562       
Euro+ Shopping Channel             ,5393.6,(91) 555 94 44   ,Madrid         ,               ,Spain          ,28034       
"Dragon Souveniers, Ltd.            ",4880,+65 221 7555     ,Singapore      ,               ,Singapore      ,079903      
L'ordine Souveniers                ,8378.7,0522-556555      ,Reggio Emilia  ,               ,Italy          ,42100       
Mini Creations Ltd.                ,4038.2,5085559555       ,New Bedford    ,MA             ,USA            ,50553       
Super Scale Inc.                   ,3807.1,2035559545       ,New Haven      ,CT             ,USA            ,97823       
