@relation NewRelation
@attribute Class numeric
@attribute 'Component #' numeric
@attribute Support numeric
@attribute Measure numeric
@attribute Prior_Measure numeric
@attribute Measure_Desc {F_Vx,F_Vy,F_Vz,Missing,NF_Ax,NF_Ay,NF_Az,NF_Vx,NF_Vy,NF_Vz}
@attribute RPM numeric
@data
5,14,4,18,5,NF_Vx,3000
1,4,1,12.5,5,NF_Ax,3000
1,16,3,10,5,NF_Az,3000
1,13,3,13,5,NF_Az,3000
1,7,3,9,5,NF_Az,3000
1,8,2,26.5,5,NF_Vy,3000
1,2,2,5,5,NF_Az,3000
2,0,2,11,5,NF_Ax,1500
2,4,3,65,5,NF_Ax,3000
2,9,4,5,5,NF_Az,1500
2,14,1,5.5,5,NF_Ax,1500
2,8,4,5,5,NF_Ax,3000
2,13,2,5,5,NF_Az,3000
2,4,2,6.5,5,NF_Ax,1500
2,6,2,9,5,NF_Az,1500
2,16,3,5,5,NF_Az,1500
5,30,4,16,4.8,F_Vx,3000
3,13,1,7,4.8,NF_Ay,3000
1,2,1,4.3,4.8,NF_Vx,3000
2,0,2,3.5,4.5,NF_Ax,1500
2,10,3,5.5,4.5,NF_Ax,1000
2,11,3,6.5,4.5,NF_Ay,1000
2,0,1,3,4.5,NF_Ax,1500
2,0,1,6.5,4.5,NF_Ax,1500
2,1,1,9,4.5,NF_Ay,1500
2,18,4,3.5,4.5,NF_Az,1500
2,0,1,5,4.5,NF_Ax,1500
2,1,1,6,4.5,NF_Ay,1500
2,16,4,3.5,4.5,NF_Az,1500
2,1,3,8.5,4.5,NF_Ay,1500
2,4,4,5.5,4.5,NF_Ax,1500
2,11,2,4.5,4.5,NF_Ay,1500
5,9,2,4.5,4.5,NF_Az,3000
1,0,2,45,4.5,NF_Ax,3000
1,1,2,32.5,4.5,NF_Az,3000
1,5,1,18,4.5,NF_Ay,3000
1,5,2,20,4.5,NF_Ay,3000
1,5,2,40,4.5,NF_Ay,3000
1,1,2,22,4.5,NF_Ay,3000
1,9,3,22,4.5,NF_Az,3000
1,7,1,28,4.5,NF_Ay,1000
1,8,3,8.5,4.5,NF_Vx,3000
1,15,4,3.5,4.5,NF_Ay,3000
2,8,4,12,4.5,NF_Ax,1500
2,3,2,4,4.5,NF_Vz,3000
2,5,3,3.5,4.5,NF_Ay,1500
2,8,2,9.5,4.5,NF_Ax,1500
2,15,1,7.5,4.5,NF_Ay,1500
2,4,3,6.5,4.5,NF_Ax,3000
2,4,2,5.5,4.5,NF_Ax,1500
2,11,3,12,4.5,NF_Ay,1500
2,14,4,6.5,4.5,NF_Ax,1500
2,2,2,5,4.5,NF_Az,1500
2,14,4,8.5,4.5,NF_Ax,1500
2,14,4,5.5,4.5,NF_Ax,1000
2,5,2,5.5,4.5,NF_Ay,1500
2,10,4,5,4.5,NF_Ax,1500
2,17,3,5.5,4.5,NF_Ay,1500
2,10,4,6,4.5,NF_Ax,1500
2,12,4,3,4.5,NF_Az,1500
2,0,1,7,4.5,NF_Ax,1500
2,10,4,5,4.5,NF_Ax,1500
2,11,4,7.5,4.5,NF_Ay,1500
2,12,1,5.5,4.5,NF_Ax,1500
2,13,1,6,4.5,NF_Ay,1500
1,5,2,10,4.4,NF_Vz,3000
2,21,2,2.5,4.4,F_Vx,3000
1,9,2,26.5,4.2,NF_Vz,3000
1,18,4,3.8,4.2,NF_Vy,1500
2,14,1,3.1,4.2,NF_Vx,3000
3,0,4,9,4,NF_Ax,3000
1,12,3,12,4,NF_Vx,3000
2,1,1,3.5,4,NF_Ay,3000
2,9,4,7.5,4,NF_Az,3000
2,6,2,3.5,4,NF_Az,1500
2,7,3,11,4,NF_Ay,1500
2,11,1,4.5,4,NF_Ay,1500
2,0,1,3,4,NF_Ax,1500
1,14,2,7.8,3.8,F_Vz,3000
1,3,1,19,3.8,NF_Vy,3000
1,51,1,17,3.8,F_Vy,3000
1,54,2,24.5,3.8,F_Vz,3000
1,57,2,1.8,3.8,F_Vx,3000
2,19,3,7,3.8,NF_Vx,1500
2,10,1,2.5,3.5,NF_Ax,1500
2,14,4,11,3.5,NF_Ax,1500
2,5,4,4.5,3.5,NF_Ay,1500
2,16,1,5,3.5,NF_Ax,1500
5,1,3,17,3.5,NF_Vx,3000
1,13,3,14,3.5,NF_Vy,3000
1,22,3,1.9,3.5,F_Vx,3000
1,26,3,1.9,3.5,F_Vy,3000
1,40,4,1.1,3.5,F_Vy,3000
1,10,1,6,3.5,NF_Ax,1500
1,11,1,8.5,3.5,NF_Ay,1500
2,8,4,23,3.5,NF_Ax,3000
2,4,2,9.5,3.5,NF_Ax,1500
2,9,1,2.5,3.5,NF_Ay,1500
2,0,1,2.5,3.5,NF_Ax,1500
2,1,1,4.5,3.5,NF_Ay,1500
2,10,1,5,3.5,NF_Ax,1500
2,15,4,11,3.5,NF_Ay,1500
2,1,1,3.5,3.5,NF_Ay,1000
2,6,2,3.5,3.5,NF_Az,1000
2,15,4,6.5,3.5,NF_Ay,1000
2,0,1,5,3.5,NF_Ax,1500
2,11,4,3.5,3.5,NF_Ay,1500
2,1,1,2.5,3.5,NF_Ay,1500
2,8,3,7.5,3.5,NF_Az,1500
2,16,4,6,3.5,NF_Ax,1500
2,17,4,17,3.5,NF_Ay,1500
2,1,1,15,3.5,NF_Ay,1500
3,10,3,9.2,3.4,NF_Vx,3000
1,4,2,3.6,3.4,NF_Vx,3000
2,19,1,2.1,3.4,F_Vx,3000
2,2,1,4.5,3.4,NF_Vx,1500
2,14,1,4.5,3.4,NF_Vx,1500
3,6,3,14.5,3.2,NF_Vx,3000
5,9,3,16,3.2,F_Vx,3000
1,9,4,6,3.2,NF_Vx,3000
1,20,1,2.2,3.2,F_Vx,3000
1,53,2,24.5,3.2,F_Vy,3000
2,20,3,11,3.2,NF_Vy,1500
1,9,3,16,3.2,NF_Vx,3000
5,6,3,4.5,3.2,NF_Vy,3000
1,8,3,6.4,3.2,NF_Vx,1500
1,16,4,2.5,3.2,NF_Az,3000
2,2,3,11,3.2,NF_Vx,1500
2,14,3,6.4,3.2,NF_Vx,1500
5,10,2,2.9,3.1,NF_Vx,3000
2,15,1,2.3,3.1,NF_Vy,3000
2,13,1,6.4,3.1,NF_Ay,1500
2,1,2,3.5,3,NF_Ay,1500
2,11,1,2.5,3,NF_Ay,1500
1,8,3,64,3,NF_Az,3000
1,40,3,7,3,F_Vx,3000
1,10,3,13,3,NF_Vx,3000
1,6,1,17.5,3,NF_Ax,1000
1,32,4,2.2,3,F_Vy,3000
1,38,4,1.5,3,F_Vx,3000
2,12,1,6,3,NF_Ax,1500
2,3,3,6.5,3,NF_Vy,1500
2,7,4,9.5,3,NF_Vz,1500
2,14,2,2.4,3,NF_Vx,3000
2,6,2,2.5,3,NF_Az,1500
2,18,3,39,3,NF_Az,1500
2,15,3,3.6,3,NF_Vy,1500
1,3,2,3.7,3,NF_Vx,3000
1,3,2,3.9,2.9,NF_Vx,3000
1,9,3,4.5,2.9,NF_Vy,3000
1,12,1,3.2,2.9,NF_Vx,3000
2,9,2,7.2,2.9,NF_Vz,1500
1,38,3,5,2.8,F_Vx,3000
2,2,1,1.6,2.8,NF_Vx,3000
2,8,2,11,2.8,NF_Vy,1500
5,4,2,11,2.8,NF_Vx,3000
1,17,4,2.6,2.7,NF_Vx,3000
2,33,2,1.9,2.7,F_Vx,3000
2,7,2,4.9,2.7,NF_Vx,1500
3,15,2,3.8,2.6,NF_Vz,3000
2,3,1,9.2,2.6,NF_Vy,1500
2,7,2,6.5,2.6,NF_Vz,1500
1,17,4,2.5,2.6,F_Vx,3000
1,12,4,4.5,2.6,NF_Vx,3000
1,31,3,6.5,2.6,F_Vx,3000
1,11,4,1.4,2.6,NF_Vx,3000
1,30,3,0.6,2.6,F_Vx,3000
1,13,4,4.6,2.6,NF_Vx,3000
1,26,3,7.2,2.6,F_Vx,3000
1,18,4,2.1,2.6,NF_Vy,3000
2,17,3,3.6,2.6,NF_Vx,1500
2,2,2,2.5,2.5,NF_Az,1500
2,14,4,3,2.5,NF_Ax,1500
2,16,4,3,2.5,NF_Az,1500
2,16,4,11,2.5,NF_Az,1500
2,6,4,3.5,2.5,NF_Az,1500
2,12,2,2.5,2.5,NF_Az,1500
2,17,1,2.5,2.5,NF_Ay,1500
3,1,2,3.5,2.5,NF_Az,3000
3,11,4,12.5,2.5,NF_Vx,3000
1,10,3,15,2.5,NF_Vy,3000
1,28,4,11,2.5,F_Vx,3000
1,39,4,1.1,2.5,F_Vz,3000
1,70,3,1.9,2.5,F_Vy,3000
2,9,4,13,2.5,NF_Az,3000
2,3,3,13.5,2.5,NF_Vy,1500
2,5,3,3.5,2.5,NF_Ay,3000
2,0,1,5.5,2.5,NF_Ax,1000
2,1,1,3,2.5,NF_Ay,1500
2,6,2,3.5,2.5,NF_Az,1500
2,12,4,3.5,2.5,NF_Az,1500
2,12,4,62.5,2.5,NF_Az,1500
2,14,3,6,2.5,NF_Vx,1500
2,12,2,1.6,2.5,NF_Vy,1500
2,7,3,5.5,2.4,NF_Vy,1500
2,9,2,2.6,2.4,NF_Vz,1500
2,9,2,3,2.4,NF_Vz,1500
3,26,2,3.2,2.4,F_Vz,3000
3,32,1,3.1,2.4,F_Vy,3000
2,11,4,4,2.3,NF_Vz,1500
3,7,1,3.3,2.3,NF_Vy,3000
3,2,2,3.2,2.3,NF_Vx,3000
1,14,1,3.2,2.3,NF_Vx,3000
5,16,2,2.1,2.3,F_Vx,3000
1,2,1,2.5,2.3,NF_Vx,3000
1,2,1,3.8,2.3,NF_Vx,3000
1,11,1,4.8,2.3,NF_Vx,3000
2,7,4,3.8,2.3,NF_Vz,1500
2,6,3,3.6,2.3,NF_Vx,3000
2,17,1,1.3,2.3,F_Vx,3000
2,18,3,3.7,2.3,NF_Vy,1500
2,11,4,3,2.3,NF_Vz,1500
2,10,2,2.5,2.2,NF_Ax,1500
3,31,3,14.5,2.2,F_Vx,3000
5,5,2,1.8,2.2,NF_Vz,3000
5,7,1,11,2.2,NF_Vx,3000
2,3,2,3,2.2,NF_Vx,1500
2,3,1,1.4,2.2,NF_Vy,1500
2,20,4,2.4,2.2,NF_Vy,1500
2,18,4,4.2,2.2,NF_Vy,1500
1,41,3,7,2.2,F_Vy,3000
1,20,1,2,2.2,F_Vx,3000
1,16,1,3,2.2,F_Vx,3000
1,14,1,3.5,2.2,F_Vx,3000
1,1,1,2.8,2.2,NF_Vx,3000
2,6,3,11,2.2,NF_Vx,1500
5,7,2,34,2.1,NF_Vz,3000
2,5,2,1.9,2.1,NF_Vz,1500
2,30,1,3.1,2.1,F_Vx,1500
2,15,3,5,2.1,NF_Vy,1500
3,4,2,7,2.1,NF_Vy,3000
5,1,1,1.1,2.1,NF_Vx,3000
1,7,2,2.8,2.1,NF_Vx,3000
1,7,2,5.8,2.1,NF_Vx,3000
1,3,2,5,2.1,NF_Vx,3000
1,46,4,0.8,2.1,F_Vy,3000
2,14,2,1.4,2.1,NF_Vx,1500
2,15,2,1.4,2.1,NF_Vz,3000
2,4,2,2,2.1,NF_Vy,1500
2,6,2,2.1,2.1,NF_Vx,1500
1,29,2,3,2,F_Vx,3000
1,20,1,1.6,2,F_Vx,3000
2,11,2,2.5,2,NF_Az,1500
2,16,3,2.2,2,F_Vx,1500
2,6,3,3,2,NF_Vx,1500
3,2,2,5.8,2,NF_Az,3000
3,6,3,5.3,2,NF_Ax,3000
1,42,3,8,2,F_Vx,3000
1,9,2,6,2,NF_Vz,3000
1,9,2,12,2,NF_Vz,3000
1,5,2,6.4,2,NF_Vz,3000
1,35,4,0.7,2,F_Vz,3000
1,13,1,2.5,2,NF_Vy,3000
2,13,4,3.2,2,NF_Vz,1500
2,5,3,32,2,NF_Ay,3000
2,11,4,3.8,2,NF_Vz,1500
2,17,2,1.7,2,F_Vx,1500
2,28,4,2.5,1.9,F_Vz,1500
3,14,1,5.7,1.9,NF_Vx,3000
1,5,2,13,1.9,NF_Vz,3000
1,41,3,2.2,1.9,F_Vx,3000
1,31,3,4,1.9,F_Vx,3000
2,11,2,1.3,1.9,NF_Vx,1500
2,13,3,3.7,1.9,NF_Vx,1500
2,12,3,6,1.9,NF_Vx,1500
3,39,3,8.5,1.9,F_Vx,3000
1,15,1,9,1.9,NF_Vy,3000
1,40,3,12,1.9,F_Vy,3000
5,18,2,0.9,1.9,F_Vx,3000
1,26,2,1.3,1.9,F_Vx,3000
1,45,3,3.5,1.9,F_Vx,3000
1,21,2,2.4,1.9,F_Vx,3000
1,34,3,1.8,1.9,F_Vx,3000
1,21,2,2,1.9,F_Vx,3000
2,11,4,8.5,1.9,NF_Vz,3000
2,10,3,9.5,1.9,NF_Vy,1500
2,19,4,15.5,1.9,NF_Vy,1500
2,14,1,2.5,1.9,NF_Ax,1500
2,13,2,1.8,1.9,NF_Vx,1500
5,5,2,5,1.9,NF_Vx,3000
5,10,2,32,1.9,F_Vz,3000
1,33,2,2,1.9,F_Vx,3000
2,20,1,2.1,1.9,F_Vy,3000
2,11,4,1.9,1.9,NF_Vz,3000
2,7,2,2.1,1.9,NF_Vx,1500
2,2,3,5.5,1.8,NF_Vx,1500
2,7,4,2.2,1.8,NF_Vx,1500
2,7,2,2.8,1.8,NF_Vx,1500
2,7,2,2.7,1.8,NF_Vx,1500
3,7,3,4.5,1.8,NF_Ay,3000
1,39,3,14,1.8,F_Vx,3000
5,15,4,2.6,1.8,NF_Vy,3000
2,6,4,5.5,1.8,NF_Vx,1500
2,2,3,9.5,1.8,NF_Vx,1500
2,10,4,3.3,1.8,NF_Vx,1500
2,3,1,5.5,1.8,NF_Vy,1500
2,3,1,2.4,1.8,NF_Vy,1500
2,3,3,4.2,1.8,NF_Vy,1500
3,14,2,2.2,1.8,NF_Vx,3000
5,10,1,0.8,1.8,F_Vx,3000
5,1,1,1.5,1.8,NF_Vx,3000
1,20,4,5,1.8,F_Vx,3000
1,58,2,1.4,1.8,F_Vy,3000
1,62,2,0.5,1.8,F_Vx,3000
1,68,3,15,1.8,F_Vy,3000
1,69,3,1.7,1.8,F_Vx,3000
2,22,2,1.6,1.8,F_Vz,3000
2,19,4,5.5,1.8,NF_Vz,1500
2,19,4,6.5,1.8,NF_Vz,1500
2,19,3,4.8,1.8,NF_Vy,1500
2,18,4,4.5,1.8,NF_Vx,1500
2,2,1,1,1.7,NF_Vx,1500
3,3,4,2.9,1.7,NF_Vz,3000
3,3,2,5.5,1.7,NF_Vx,3000
3,9,1,2.1,1.7,NF_Vx,3000
1,18,4,10,1.7,NF_Vx,3000
1,31,2,11,1.7,F_Vz,3000
1,52,3,2.6,1.7,F_Vx,3000
1,19,3,1.9,1.7,NF_Vz,3000
1,15,3,2.1,1.7,NF_Vz,3000
1,9,3,2.6,1.7,NF_Vz,3000
2,7,3,7.5,1.7,NF_Vy,1500
2,10,1,1.2,1.7,NF_Vx,1500
2,6,4,10.5,1.7,NF_Vx,1500
2,19,3,10,1.7,NF_Vy,1500
2,39,2,1.4,1.7,F_Vz,1500
2,2,1,1.6,1.7,NF_Vx,1500
2,10,4,2.7,1.6,NF_Vx,3000
2,37,2,1.4,1.6,F_Vx,1500
2,10,4,4.2,1.6,NF_Vx,1500
2,58,3,2,1.6,F_Vy,1500
2,14,3,3.1,1.6,NF_Vy,1500
2,13,3,6.2,1.6,NF_Vy,1500
3,2,4,4,1.6,NF_Vx,3000
3,11,3,2.1,1.6,NF_Vz,3000
3,35,3,2,1.6,F_Vx,3000
5,11,2,1.7,1.6,NF_Vz,3000
5,28,3,2.1,1.6,F_Vy,3000
1,50,4,4,1.6,F_Vx,3000
1,32,4,4.2,1.6,F_Vx,3000
1,7,4,6.6,1.6,NF_Vx,3000
1,3,2,4.8,1.6,NF_Vx,1500
1,19,4,0.8,1.6,NF_Vz,3000
2,6,3,36,1.6,NF_Vx,3000
2,23,3,1.2,1.6,F_Vx,1500
2,12,3,19,1.6,NF_Vx,1500
2,9,3,7.5,1.6,NF_Vx,1500
2,20,3,5.2,1.6,F_Vx,1500
2,22,3,1.2,1.6,F_Vx,1500
2,26,1,1.4,1.6,F_Vx,1500
1,23,1,2.5,1.6,F_Vx,3000
1,24,1,8.1,1.6,F_Vy,3000
2,7,2,3.6,1.6,NF_Vx,1500
2,2,1,2.1,1.5,NF_Vx,1500
2,2,1,2.1,1.5,NF_Vx,1500
2,2,3,3.8,1.5,NF_Vx,1500
3,37,3,1.8,1.5,F_Vx,3000
3,8,3,4.2,1.5,NF_Az,3000
3,16,4,2.8,1.5,NF_Ax,3000
3,17,4,1.4,1.5,NF_Ay,3000
3,20,1,1.7,1.5,F_Vx,3000
3,66,2,1.4,1.5,F_Vx,3000
1,54,4,9,1.5,F_Vx,3000
5,15,2,0.9,1.5,F_Vx,3000
1,43,3,12,1.5,F_Vy,3000
1,31,4,1.9,1.5,F_Vx,3000
1,46,1,0.5,1.5,F_Vx,3000
1,4,2,2.1,1.5,NF_Vy,3000
2,18,3,3.8,1.5,NF_Vx,1500
2,18,3,3.8,1.5,NF_Vx,1500
2,8,2,2.9,1.5,NF_Vy,1500
2,19,3,1.5,1.5,NF_Vz,1500
1,6,1,7.5,1.4,NF_Vx,3000
1,4,2,2.9,1.4,NF_Vy,1500
2,8,3,6.2,1.4,NF_Vx,1500
2,14,4,13,1.4,NF_Vy,1500
1,2,3,26,1.4,NF_Vx,1000
2,22,4,1.4,1.4,F_Vx,1500
2,8,2,3.5,1.4,NF_Vy,1500
2,8,2,2.8,1.4,NF_Vy,1500
3,14,4,10.5,1.4,F_Vx,3000
1,2,2,18,1.4,NF_Vx,3000
1,28,2,1.1,1.4,F_Vz,3000
1,52,4,0.6,1.4,F_Vx,3000
1,23,2,2.9,1.4,F_Vz,3000
1,22,2,3.3,1.4,F_Vz,3000
1,33,4,1.2,1.4,F_Vx,3000
1,13,2,3,1.4,F_Vx,3000
1,17,3,11,1.4,F_Vx,3000
1,51,3,4.2,1.4,F_Vy,1500
