zip_code;week_ending_date;total_properties_this_week;total_properties_last_week;total_properties_week_change;pct_state_traffic_week_avg;pct_national_traffic_week_avg
01069;2015/09/05 00:00:00.000;52;34;18;0.1329751868;0.0037762653
01070;2015/07/04 00:00:00.000;1;2;-1;0.0013187915;0.0000391349
01070;2015/09/05 00:00:00.000;5;2;3;0.0132975187;0.0003776265
01071;2015/07/04 00:00:00.000;10;10;0;0.0263758292;0.0007826986
01072;2015/09/05 00:00:00.000;17;10;7;0.0638280897;0.0018126074
01073;2015/09/05 00:00:00.000;30;14;16;0.1276561794;0.0036252147
01075;2015/07/04 00:00:00.000;51;53;-2;0.2228757567;0.0066138032
01077;2015/07/04 00:00:00.000;37;35;2;0.163530141;0.0048527313
01077;2015/09/05 00:00:00.000;29;23;6;0.1848355097;0.0052490088
01080;2015/07/04 00:00:00.000;4;3;1;0.0013187915;0.0000391349
01081;2015/09/05 00:00:00.000;13;7;6;0.030584293;0.000868541
01081;2015/07/04 00:00:00.000;9;11;-2;0.017144289;0.0005087541
01082;2015/09/05 00:00:00.000;67;39;28;0.1555809686;0.0044182304
01082;2015/07/04 00:00:00.000;57;62;-5;0.1173724399;0.0034830088
01084;2015/09/05 00:00:00.000;1;1;0;0.0013297519;0.0000377627
01085;2015/07/04 00:00:00.000;96;104;-8;0.5657615361;0.0167888851
01085;2015/09/05 00:00:00.000;113;79;34;0.5917395814;0.0168043808
01088;2015/09/05 00:00:00.000;3;2;1;0.0013297519;0.0000377627
01088;2015/07/04 00:00:00.000;3;3;0;0.0131879146;0.0003913493
01089;2015/07/04 00:00:00.000;50;47;3;0.2373824627;0.0070442874
01095;2015/09/05 00:00:00.000;46;27;19;0.2446743438;0.0069483282
01095;2015/07/04 00:00:00.000;59;58;1;0.3231039076;0.0095880579
01096;2015/09/05 00:00:00.000;12;4;8;0.0292545411;0.0008307784
01098;2015/07/04 00:00:00.000;13;10;3;0.0184630804;0.000547889
01098;2015/09/05 00:00:00.000;13;6;7;0.0731363528;0.0020769459
01103;2015/09/05 00:00:00.000;3;2;1;0.0079785112;0.0002265759
01103;2015/07/04 00:00:00.000;3;3;0;0.0065939573;0.0001956747
01104;2015/07/04 00:00:00.000;40;38;2;0.0857214449;0.0025437705
01104;2015/09/05 00:00:00.000;48;38;10;0.1675487354;0.0047580943
01105;2015/09/05 00:00:00.000;6;4;2;0.039892556;0.0011328796
01106;2015/09/05 00:00:00.000;62;48;14;0.2832371479;0.0080434452
01107;2015/07/04 00:00:00.000;10;10;0;0.0369261609;0.001095778
01108;2015/09/05 00:00:00.000;51;41;10;0.2366958326;0.0067217523
01108;2015/07/04 00:00:00.000;41;41;0;0.2176005908;0.0064572635
01109;2015/09/05 00:00:00.000;46;29;17;0.1276561794;0.0036252147
01109;2015/07/04 00:00:00.000;34;31;3;0.1819932214;0.0054006204
01118;2015/07/04 00:00:00.000;60;51;9;0.3455233624;0.0102533517
01119;2015/09/05 00:00:00.000;22;18;4;0.0984016383;0.0027944364
01119;2015/07/04 00:00:00.000;30;28;2;0.1094596911;0.0032481992
01128;2015/09/05 00:00:00.000;5;3;2;0.0279247892;0.0007930157
01128;2015/07/04 00:00:00.000;7;6;1;0.0553892413;0.0016436671
01129;2015/07/04 00:00:00.000;20;23;-3;0.0580268242;0.0017219369
01201;2015/09/05 00:00:00.000;85;86;-1;0.4361586128;0.0123861503
01201;2015/07/04 00:00:00.000;99;97;2;0.407506561;0.0120926934
01220;2015/09/05 00:00:00.000;15;15;0;0.1422834499;0.0040406039
01220;2015/07/04 00:00:00.000;8;7;1;0.0619831986;0.0018393417
01223;2015/07/04 00:00:00.000;60;56;4;0.097590568;0.0028959848
01225;2015/09/05 00:00:00.000;5;7;-2;0.0265950374;0.0007552531
01225;2015/07/04 00:00:00.000;6;6;0;0.0250570377;0.0007435637
01226;2015/07/04 00:00:00.000;12;10;2;0.0303322036;0.0009001034
01235;2015/09/05 00:00:00.000;62;52;10;0.039892556;0.0011328796
01235;2015/07/04 00:00:00.000;26;32;-6;0.0329697865;0.0009783733
01236;2015/07/04 00:00:00.000;1;1;0;0.0040524659;0.0001166804
01237;2015/07/04 00:00:00.000;5;5;0;0.0553892413;0.0016436671
01238;2015/09/05 00:00:00.000;23;16;7;0.1077099013;0.0030587749
01238;2015/07/04 00:00:00.000;25;26;-1;0.1569361837;0.0046570567
01240;2015/07/04 00:00:00.000;30;26;4;0.1964999275;0.0058311046
01240;2015/09/05 00:00:00.000;36;35;1;0.2127602989;0.0060420245
01245;2015/07/04 00:00:00.000;6;8;-2;0.0461577011;0.0013697226
01247;2015/07/04 00:00:00.000;84;90;-6;0.1938623445;0.0057528347
01247;2015/09/05 00:00:00.000;128;152;-24;0.2593016143;0.0073637174
01253;2015/07/04 00:00:00.000;16;15;1;0.0567080328;0.001682802
01254;2015/09/05 00:00:00.000;9;4;5;0.0319140448;0.0009063037
01254;2015/07/04 00:00:00.000;10;11;-1;0.031650995;0.0009392383
01255;2015/07/04 00:00:00.000;6;6;0;0.0158254975;0.0004696192
01255;2015/09/05 00:00:00.000;10;7;3;0.0039892556;0.000113288
01257;2015/09/05 00:00:00.000;10;8;2;0.039892556;0.0011328796
01258;2015/09/05 00:00:00.000;8;6;2;0.019946278;0.0005664398
01258;2015/07/04 00:00:00.000;10;14;-4;0.0197818719;0.000587024
01259;2015/07/04 00:00:00.000;3;4;-1;0.0052751658;0.0001565397
01262;2015/07/04 00:00:00.000;7;5;2;0.0844026534;0.0025046355
01262;2015/09/05 00:00:00.000;2;2;0;0.1130289088;0.0032098255
01264;2015/09/05 00:00:00.000;1;1;0;0.0026595037;0.0000755253
01266;2015/09/05 00:00:00.000;5;5;0;0.0518603229;0.0014727435
01266;2015/07/04 00:00:00.000;4;7;-3;0.0369261609;0.001095778
01267;2015/07/04 00:00:00.000;21;24;-3;0.163530141;0.0048527313
01270;2015/07/04 00:00:00.000;5;6;-1;0.0118691231;0.0003522144
01301;2015/07/04 00:00:00.000;49;44;5;0.309915993;0.0091967086
01301;2015/09/05 00:00:00.000;158;84;74;0.2167495545;0.0061553125
01330;2015/07/04 00:00:00.000;3;3;0;0.0105503317;0.0003130794
01330;2015/09/05 00:00:00.000;5;4;1;0.0465413154;0.0013216929
01331;2015/07/04 00:00:00.000;110;120;-10;0.2162817994;0.0064181286
01331;2015/09/05 00:00:00.000;206;98;108;0.1582404723;0.0044937558
01337;2015/07/04 00:00:00.000;12;9;3;0.0356073694;0.0010566431
01339;2015/09/05 00:00:00.000;16;16;0;0.0279247892;0.0007930157
01340;2015/07/04 00:00:00.000;5;6;-1;0.0092315402;0.0002739445
01340;2015/09/05 00:00:00.000;15;10;5;0.0571793303;0.0016237941
01341;2015/07/04 00:00:00.000;9;6;3;0.0501140755;0.0014871273
01342;2015/07/04 00:00:00.000;2;1;1;0.0290134121;0.0008609685
01344;2015/09/05 00:00:00.000;4;3;1;0.0132975187;0.0003776265
01346;2015/09/05 00:00:00.000;5;3;2;0.0132975187;0.0003776265
01346;2015/07/04 00:00:00.000;2;1;1;0.0065939573;0.0001956747
01349;2015/09/05 00:00:00.000;1;1;0;0.0053190075;0.0001510506
01350;2015/09/05 00:00:00.000;1;1;0;0.0066487593;0.0001888133
01354;2015/09/05 00:00:00.000;3;2;1;0.0212760299;0.0006042025
01354;2015/07/04 00:00:00.000;1;2;-1;0.0065939573;0.0001956747
01355;2015/09/05 00:00:00.000;5;3;2;0.0146272706;0.0004153892
01355;2015/07/04 00:00:00.000;5;7;-2;0.0052751658;0.0001565397
01364;2015/07/04 00:00:00.000;19;20;-1;0.0593456157;0.0017610719
01364;2015/09/05 00:00:00.000;24;14;10;0.081114864;0.0023035219
01366;2015/09/05 00:00:00.000;9;7;2;0.0492008191;0.0013972182
01366;2015/07/04 00:00:00.000;5;6;-1;0.0145067061;0.0004304842
01367;2015/07/04 00:00:00.000;1;1;0;0.0079127488;0.0002348096
01368;2015/07/04 00:00:00.000;4;5;-1;0.0158254975;0.0004696192
01370;2015/09/05 00:00:00.000;14;8;6;0.0465413154;0.0013216929
01370;2015/07/04 00:00:00.000;6;5;1;0.0514328669;0.0015262623
01375;2015/07/04 00:00:00.000;7;7;0;0.0382449523;0.001134913
01376;2015/07/04 00:00:00.000;5;5;0;0.0382449523;0.001134913
01376;2015/09/05 00:00:00.000;14;6;8;0.0492008191;0.0013972182
01378;2015/09/05 00:00:00.000;6;4;2;0.0093082631;0.0002643386
01379;2015/07/04 00:00:00.000;1;1;0;0.0118691231;0.0003522144
01420;2015/07/04 00:00:00.000;102;97;5;0.3824495233;0.0113491298
01420;2015/09/05 00:00:00.000;112;77;35;0.424190846;0.0120462864
01430;2015/07/04 00:00:00.000;45;39;6;0.0936341936;0.00277858
01432;2015/09/05 00:00:00.000;24;18;6;0.0797851121;0.0022657592
01434;2015/07/04 00:00:00.000;10;14;-4;0.0026375829;0.0000782699
01436;2015/07/04 00:00:00.000;2;2;0;0.0131879146;0.0003913493
01440;2015/09/05 00:00:00.000;62;41;21;0.2353660807;0.0066839897
01450;2015/07/04 00:00:00.000;48;51;-3;0.2057314677;0.0061050491
01450;2015/09/05 00:00:00.000;39;29;10;0.1635594798;0.0046448064
01451;2015/07/04 00:00:00.000;32;31;1;0.0712147388;0.0021132862
01451;2015/09/05 00:00:00.000;38;27;11;0.1529214649;0.0043427051
01452;2015/07/04 00:00:00.000;14;14;0;0.0382449523;0.001134913
01460;2015/09/05 00:00:00.000;18;18;0;0.1369644424;0.0038895533
01460;2015/07/04 00:00:00.000;22;19;3;0.1938623445;0.0057528347
01462;2015/07/04 00:00:00.000;52;50;2;0.163530141;0.0048527313
01462;2015/09/05 00:00:00.000;43;31;12;0.1981330284;0.0056266354
01468;2015/07/04 00:00:00.000;18;15;3;0.0619831986;0.0018393417
01468;2015/09/05 00:00:00.000;13;9;4;0.0718066009;0.0020391833
01473;2015/07/04 00:00:00.000;20;19;1;0.1055033168;0.0031307944
01475;2015/09/05 00:00:00.000;41;25;16;0.0571793303;0.0016237941
01501;2015/07/04 00:00:00.000;46;47;-1;0.1714428897;0.0050875409
01504;2015/09/05 00:00:00.000;29;21;8;0.0917528789;0.0026056231
01505;2015/09/05 00:00:00.000;13;10;3;0.0664875934;0.0018881327
01506;2015/07/04 00:00:00.000;9;9;0;0.0329697865;0.0009783733
01507;2015/07/04 00:00:00.000;32;34;-2;0.1055033168;0.0031307944
01515;2015/09/05 00:00:00.000;8;7;1;0.0319140448;0.0009063037
01515;2015/07/04 00:00:00.000;10;10;0;0.0250570377;0.0007435637
01516;2015/09/05 00:00:00.000;38;23;15;0.1183479163;0.0033608762
01516;2015/07/04 00:00:00.000;33;31;2;0.1055033168;0.0031307944
01518;2015/07/04 00:00:00.000;13;14;-1;0.0342885779;0.0010175082
01519;2015/09/05 00:00:00.000;19;13;6;0.1502619611;0.0042671798
01520;2015/09/05 00:00:00.000;58;35;23;0.2912156592;0.0082700211
01522;2015/07/04 00:00:00.000;7;6;1;0.031650995;0.0009392383
01522;2015/09/05 00:00:00.000;12;6;6;0.0079785112;0.0002265759
01523;2015/09/05 00:00:00.000;20;11;9;0.1170181644;0.0033231135
01523;2015/07/04 00:00:00.000;22;26;-4;0.1002281509;0.0029742547
01527;2015/07/04 00:00:00.000;30;32;-2;0.1384731032;0.0041091677
01527;2015/09/05 00:00:00.000;37;24;13;0.202122284;0.0057399233
01529;2015/09/05 00:00:00.000;15;11;4;0.0332437967;0.0009440663
01534;2015/07/04 00:00:00.000;21;22;-1;0.1068221082;0.0031699293
01535;2015/07/04 00:00:00.000;19;15;4;0.0778086961;0.0023089609
01535;2015/09/05 00:00:00.000;17;13;4;0.030584293;0.000868541
01536;2015/09/05 00:00:00.000;21;11;10;0.070476849;0.0020014206
01540;2015/09/05 00:00:00.000;40;27;13;0.1662189835;0.0047203317
01542;2015/09/05 00:00:00.000;6;4;2;0.0053190075;0.0001510506
01543;2015/09/05 00:00:00.000;33;20;13;0.1090396532;0.0030965376
01545;2015/07/04 00:00:00.000;77;72;5;0.5407044984;0.0160453214
01550;2015/09/05 00:00:00.000;37;25;12;0.1116991569;0.0031720629
01560;2015/09/05 00:00:00.000;12;5;7;0.0412223079;0.0011706423
01562;2015/07/04 00:00:00.000;40;39;1;0.129241563;0.0038352232
01562;2015/09/05 00:00:00.000;45;34;11;0.1223371719;0.0034741641
01564;2015/09/05 00:00:00.000;23;16;7;0.0930826308;0.0026433857
01568;2015/09/05 00:00:00.000;24;15;9;0.1542512167;0.0043804678
01569;2015/07/04 00:00:00.000;46;50;-4;0.1305603545;0.0038743581
01569;2015/09/05 00:00:00.000;42;33;9;0.1888247653;0.0053622968
01570;2015/07/04 00:00:00.000;52;53;-1;0.1173724399;0.0034830088
01571;2015/09/05 00:00:00.000;41;32;9;0.0984016383;0.0027944364
01583;2015/07/04 00:00:00.000;12;13;-1;0.0791274876;0.0023480958
01583;2015/09/05 00:00:00.000;21;16;5;0.1436132018;0.0040783666
01585;2015/09/05 00:00:00.000;21;13;8;0.081114864;0.0023035219
01588;2015/07/04 00:00:00.000;29;29;0;0.0593456157;0.0017610719
01588;2015/09/05 00:00:00.000;34;24;10;0.1369644424;0.0038895533
01590;2015/07/04 00:00:00.000;25;29;-4;0.1266039801;0.0037569533
01602;2015/09/05 00:00:00.000;76;54;22;0.4108933273;0.0116686599
01603;2015/09/05 00:00:00.000;35;21;14;0.1569107205;0.0044559931
01604;2015/07/04 00:00:00.000;70;63;7;0.4193756841;0.0124449078
01605;2015/07/04 00:00:00.000;27;27;0;0.1753992641;0.0052049457
01606;2015/09/05 00:00:00.000;56;40;16;0.413552831;0.0117441852
01606;2015/07/04 00:00:00.000;50;48;2;0.2874965382;0.0085314148
01607;2015/09/05 00:00:00.000;16;12;4;0.050530571;0.0014349808
01608;2015/07/04 00:00:00.000;1;1;0;0.0197818719;0.000587024
01609;2015/07/04 00:00:00.000;50;54;-4;0.3639864428;0.0108012407
01610;2015/09/05 00:00:00.000;9;7;2;0.0970718864;0.0027566737
01611;2015/09/05 00:00:00.000;12;8;4;0.0106380149;0.0003021012
01612;2015/07/04 00:00:00.000;15;15;0;0.0725335303;0.0021524212
01702;2015/09/05 00:00:00.000;38;28;10;0.3550437488;0.0100826285
01718;2015/07/04 00:00:00.000;1;2;-1;0.0079127488;0.0002348096
01720;2015/07/04 00:00:00.000;59;58;1;0.3468421539;0.0102924866
01721;2015/09/05 00:00:00.000;23;22;1;0.2659503737;0.0075525307
01721;2015/07/04 00:00:00.000;30;34;-4;0.261120709;0.0077487162
01730;2015/09/05 00:00:00.000;24;17;7;0.1436132018;0.0040783666
01740;2015/07/04 00:00:00.000;35;35;0;0.1213288143;0.0036004136
01741;2015/09/05 00:00:00.000;20;19;1;0.0797851121;0.0022657592
01742;2015/09/05 00:00:00.000;74;55;19;0.2619611181;0.0074392427
01746;2015/07/04 00:00:00.000;32;34;-2;0.2307885054;0.0068486128
01746;2015/09/05 00:00:00.000;37;19;18;0.2087710433;0.0059287366
01747;2015/09/05 00:00:00.000;9;9;0;0.0518603229;0.0014727435
01747;2015/07/04 00:00:00.000;11;12;-1;0.0712147388;0.0021132862
01749;2015/09/05 00:00:00.000;31;20;11;0.2593016143;0.0073637174
01752;2015/09/05 00:00:00.000;72;55;17;0.4733916651;0.0134435046
01752;2015/07/04 00:00:00.000;67;71;-4;0.4127817268;0.0122492332
01754;2015/07/04 00:00:00.000;31;29;2;0.1358355203;0.0040308978
01756;2015/09/05 00:00:00.000;24;15;9;0.0558495785;0.0015860314
01757;2015/09/05 00:00:00.000;39;25;14;0.2539826068;0.0072126668
01760;2015/07/04 00:00:00.000;63;63;0;0.7187413454;0.021328537
01770;2015/07/04 00:00:00.000;44;39;5;0.097590568;0.0028959848
01772;2015/09/05 00:00:00.000;39;26;13;0.2074412915;0.0058909739
01773;2015/09/05 00:00:00.000;14;14;0;0.1170181644;0.0033231135
01775;2015/07/04 00:00:00.000;23;25;-2;0.1041845253;0.0030916595
01776;2015/07/04 00:00:00.000;58;61;-3;0.2452952115;0.007279097
01776;2015/09/05 00:00:00.000;48;31;17;0.2446743438;0.0069483282
01778;2015/09/05 00:00:00.000;37;28;9;0.2380255844;0.006759515
01801;2015/09/05 00:00:00.000;47;38;9;0.5013164543;0.0142365203
01803;2015/07/04 00:00:00.000;35;33;2;0.3455233624;0.0102533517
01803;2015/09/05 00:00:00.000;34;23;11;0.2991941704;0.008496597
01810;2015/07/04 00:00:00.000;112;98;14;0.5829058251;0.0172976391
01821;2015/07/04 00:00:00.000;50;43;7;0.4470703048;0.0132667413
01821;2015/09/05 00:00:00.000;48;29;19;0.3816387862;0.0108378815
01826;2015/09/05 00:00:00.000;73;53;20;0.3151511928;0.0089497489
01827;2015/09/05 00:00:00.000;9;5;4;0.0465413154;0.0013216929
01830;2015/07/04 00:00:00.000;50;53;-3;0.2532079602;0.0075139066
01832;2015/09/05 00:00:00.000;55;48;7;0.3896172974;0.0110644575
01834;2015/09/05 00:00:00.000;8;9;-1;0.0824446158;0.0023412845
01835;2015/07/04 00:00:00.000;24;30;-6;0.1424294776;0.0042265725
01835;2015/09/05 00:00:00.000;37;24;13;0.2061115396;0.0058532113
01843;2015/09/05 00:00:00.000;17;13;4;0.1781867504;0.0050601956
01843;2015/07/04 00:00:00.000;18;21;-3;0.1424294776;0.0042265725
01844;2015/07/04 00:00:00.000;98;86;12;0.6501641895;0.0192935206
01845;2015/09/05 00:00:00.000;73;56;17;0.2845668998;0.0080812078
01850;2015/07/04 00:00:00.000;29;26;3;0.1120972741;0.0033264691
01850;2015/09/05 00:00:00.000;24;15;9;0.1236669238;0.0035119268
01851;2015/07/04 00:00:00.000;20;19;1;0.2663958748;0.0079052559
01851;2015/09/05 00:00:00.000;29;22;7;0.2007925321;0.0057021607
01852;2015/09/05 00:00:00.000;60;40;20;0.3577032526;0.0101581538
01860;2015/07/04 00:00:00.000;13;10;3;0.0857214449;0.0025437705
01862;2015/09/05 00:00:00.000;16;8;8;0.0864338714;0.0024545725
01862;2015/07/04 00:00:00.000;15;15;0;0.0698959474;0.0020741513
01863;2015/09/05 00:00:00.000;18;17;1;0.0678173453;0.0019258953
01867;2015/07/04 00:00:00.000;33;38;-5;0.2624395004;0.0077878511
01879;2015/07/04 00:00:00.000;26;27;-1;0.1055033168;0.0031307944
01880;2015/07/04 00:00:00.000;42;39;3;0.4958655888;0.0147147338
01887;2015/07/04 00:00:00.000;19;22;-3;0.2835401638;0.00841401
01901;2015/07/04 00:00:00.000;1;1;0;0.0079127488;0.0002348096
01902;2015/07/04 00:00:00.000;41;38;3;0.4259696414;0.0126405825
01906;2015/07/04 00:00:00.000;35;35;0;0.4892716315;0.0145190591
01907;2015/07/04 00:00:00.000;36;35;1;0.3916810635;0.0116230743
01915;2015/07/04 00:00:00.000;63;58;5;0.5420232899;0.0160844563
01921;2015/07/04 00:00:00.000;34;27;7;0.1002281509;0.0029742547
01930;2015/07/04 00:00:00.000;81;73;8;0.7648990465;0.0226982595
01940;2015/07/04 00:00:00.000;26;27;-1;0.2466140029;0.0073182319
01949;2015/07/04 00:00:00.000;26;26;0;0.2096878421;0.0062224539
01950;2015/07/04 00:00:00.000;81;77;4;0.6251071518;0.0185499569
01960;2015/07/04 00:00:00.000;59;62;-3;0.7767681696;0.0230504739
01969;2015/07/04 00:00:00.000;17;15;2;0.1041845253;0.0030916595
01970;2015/07/04 00:00:00.000;94;95;-1;0.8084191647;0.0239897122
01983;2015/07/04 00:00:00.000;12;12;0;0.0778086961;0.0023089609
01984;2015/07/04 00:00:00.000;16;18;-2;0.0751711132;0.002230691
02021;2015/07/04 00:00:00.000;56;47;9;0.4497078877;0.0133450112
02026;2015/07/04 00:00:00.000;42;41;1;0.3521173197;0.0104490264
02038;2015/07/04 00:00:00.000;64;62;2;0.5604863703;0.0166323453
02045;2015/07/04 00:00:00.000;83;80;3;0.375855566;0.0111534551
02050;2015/07/04 00:00:00.000;91;81;10;0.4628958023;0.0137363605
02056;2015/07/04 00:00:00.000;34;34;0;0.212325425;0.0063007238
02066;2015/07/04 00:00:00.000;85;80;5;0.4800400913;0.0142451146
02067;2015/07/04 00:00:00.000;49;48;1;0.2729898321;0.0081009306
02081;2015/07/04 00:00:00.000;48;43;5;0.3521173197;0.0104490264
02090;2015/07/04 00:00:00.000;50;46;4;0.2479327944;0.0073573669
02110;2015/07/04 00:00:00.000;6;11;-5;0.0778086961;0.0023089609
02111;2015/07/04 00:00:00.000;18;18;0;0.0474764925;0.0014088575
02113;2015/07/04 00:00:00.000;6;6;0;0.1094596911;0.0032481992
02114;2015/07/04 00:00:00.000;18;17;1;0.4167381012;0.0123666379
02118;2015/07/04 00:00:00.000;37;43;-6;0.5130098777;0.0152234878
02119;2015/07/04 00:00:00.000;6;7;-1;0.1252851887;0.0037178184
02124;2015/07/04 00:00:00.000;34;50;-16;0.2743086236;0.0081400655
02128;2015/07/04 00:00:00.000;17;16;1;0.3349730307;0.0099402723
02129;2015/07/04 00:00:00.000;39;41;-2;0.358711277;0.010644701
02132;2015/07/04 00:00:00.000;33;36;-3;0.42465085;0.0126014475
02136;2015/07/04 00:00:00.000;30;32;-2;0.275627415;0.0081792004
02141;2015/07/04 00:00:00.000;9;10;-1;0.1688053068;0.0050092711
02152;2015/07/04 00:00:00.000;23;22;1;0.3231039076;0.0095880579
02170;2015/07/04 00:00:00.000;11;13;-2;0.1767180556;0.0052440806
02171;2015/07/04 00:00:00.000;26;26;0;0.2096878421;0.0062224539
02176;2015/07/04 00:00:00.000;25;31;-6;0.4760837169;0.0141277098
02188;2015/07/04 00:00:00.000;20;23;-3;0.2110066335;0.0062615888
02191;2015/07/04 00:00:00.000;17;17;0;0.1516610178;0.004500517
02302;2015/07/04 00:00:00.000;41;45;-4;0.4338823902;0.012875392
02322;2015/07/04 00:00:00.000;14;12;2;0.1081408997;0.0032090643
02330;2015/07/04 00:00:00.000;53;45;8;0.3929998549;0.0116622092
02338;2015/07/04 00:00:00.000;19;16;3;0.0870402363;0.0025829054
02343;2015/07/04 00:00:00.000;18;15;3;0.1964999275;0.0058311046
02367;2015/07/04 00:00:00.000;8;10;-2;0.0474764925;0.0014088575
02368;2015/07/04 00:00:00.000;43;35;8;0.5156474607;0.0153017577
02379;2015/07/04 00:00:00.000;22;20;2;0.1450670605;0.0043048423
02420;2015/07/04 00:00:00.000;38;43;-5;0.3969562293;0.011779614
02421;2015/07/04 00:00:00.000;30;35;-5;0.3020032442;0.008961899
02445;2015/07/04 00:00:00.000;38;44;-6;0.4694897596;0.0139320351
02446;2015/07/04 00:00:00.000;32;32;0;0.4127817268;0.0122492332
02451;2015/07/04 00:00:00.000;22;26;-4;0.1925435531;0.0057136998
02452;2015/07/04 00:00:00.000;17;17;0;0.1371543118;0.0040700327
02461;2015/07/04 00:00:00.000;12;13;-1;0.0830838619;0.0024655006
02462;2015/07/04 00:00:00.000;3;3;0;0.031650995;0.0009392383
02466;2015/07/04 00:00:00.000;8;10;-2;0.0606644071;0.0018002068
02467;2015/07/04 00:00:00.000;44;45;-1;0.2545267517;0.0075530415
02472;2015/07/04 00:00:00.000;32;30;2;0.4510266792;0.0133841461
02474;2015/07/04 00:00:00.000;20;23;-3;0.3679428172;0.0109186455
