Keyword,Mentions,Mention Date,Zipcode,State,IP Address,,,
candy,246,1/26/13,27499,North Carolina,174.161.119.113,,,
funny,214,1/26/13,97232,Oregon,226.191.56.60,,,
series,72,1/26/13,25775,West Virginia,148.156.6.239,,,
holder,25,1/27/13,90020,California,10.63.146.252,,,
ideas,169,1/27/13,77050,Texas,153.9.56.231,,,
presents,228,1/27/13,94705,California,120.49.4.93,,,
santa,79,1/27/13,23705,Virginia,127.117.254.125,,,
hugs,1904,1/28/13,50981,Iowa,81.194.110.46,,,
idea,1048,1/28/13,76796,Texas,216.18.49.242,,,
kisses,352,1/28/13,65805,Missouri,192.99.124.6,,,
machine,2000,1/28/13,70805,Louisiana,17.27.241.174,,,
open,896,1/28/13,72118,Arkansas,122.65.65.233,,,
crib,720,1/29/13,10275,New York,227.160.152.253,,,
sleep,1640,1/29/13,61656,Illinois,242.0.207.237,,,
reasons,1480,1/30/13,77090,Texas,87.4.120.198,,,
humorous,1008,1/31/13,37240,Tennessee,127.195.1.22,,,
stickers,1304,1/31/13,17605,Pennsylvania,163.38.112.117,,,
gift,1488,2/1/13,89550,Nevada,203.17.1.97,,,
knew,1392,2/1/13,65110,Missouri,68.61.160.55,,,
church,1872,2/2/13,21405,Maryland,248.39.195.200,,,
closed,1888,2/2/13,32412,Florida,18.143.166.57,,,
fastest,1208,2/2/13,91205,California,77.184.108.118,,,
mahone,504,2/2/13,77505,Texas,77.160.246.36,,,
sleep,1416,2/2/13,79171,Texas,78.72.30.173,,,
world,1152,2/2/13,37228,Tennessee,164.115.160.145,,,
custom,1792,2/3/13,60674,Illinois,43.81.120.146,,,
draw,1816,2/3/13,78278,Texas,51.217.194.8,,,
sleep,280,2/3/13,36622,Alabama,11.151.132.114,,,
videos,1984,2/3/13,51110,Iowa,85.105.41.196,,,
creative,608,2/4/13,93305,California,245.97.33.154,,,
instructions,216,2/4/13,80044,Colorado,124.86.199.27,,,
life,672,2/4/13,20238,District of Columbia,231.153.20.66,,,
literally,960,2/4/13,33605,Florida,79.247.178.35,,,
funny,720,2/5/13,2458,Massachusetts,170.59.253.254,,,
idea,336,2/5/13,66642,Kansas,64.223.154.147,,,
soda,528,2/5/13,20016,District of Columbia,140.69.213.187,,,
cake,1992,2/6/13,31205,Georgia,35.179.254.36,,,
feeling,1136,2/6/13,78260,Texas,123.95.2.20,,,
funny,1096,2/6/13,75397,Texas,45.102.106.233,,,
gift,288,2/6/13,24020,Virginia,128.1.14.68,,,
glue,480,2/6/13,10150,New York,221.143.34.215,,,
kiss,912,2/6/13,6533,Connecticut,160.12.200.206,,,8
prank,744,2/6/13,98195,Washington,87.197.248.186,,,
shes,1408,2/6/13,74156,Oklahoma,155.81.52.121,,,
diamond,472,2/7/13,87505,New Mexico,165.95.240.183,,,
kisses,1304,2/7/13,10633,New York,29.179.99.157,,,
church,888,2/8/13,1105,Massachusetts,247.6.102.40,,,
cupid,2648,2/8/13,80044,Colorado,215.112.228.175,,,
cupid,1840,2/8/13,77806,Texas,93.84.85.45,,,
cupid,1784,2/8/13,6859,Connecticut,37.97.34.4,,,
cupid,1784,2/8/13,96845,Hawaii,146.164.243.141,,,
cupid,1600,2/8/13,55598,Minnesota,136.39.54.105,,,
favorite,1336,2/8/13,72199,Arkansas,180.58.127.242,,,
heart,2048,2/8/13,31416,Georgia,213.200.199.20,,,
heart,3088,2/8/13,80525,Colorado,212.142.181.36,,,
heart,3448,2/8/13,55487,Minnesota,161.16.128.90,,,
heart,2304,2/8/13,10165,New York,254.236.79.56,,,
heart,3040,2/8/13,63136,Missouri,247.177.62.65,,,
hershey,3176,2/8/13,94622,California,6.120.148.24,,,
hershey,2520,2/8/13,86305,Arizona,6.72.106.26,,,
hershey,2504,2/8/13,20414,District of Columbia,172.202.242.213,,,
hershey,2392,2/8/13,78682,Texas,233.191.152.197,,,
jewelry,1928,2/8/13,93111,California,25.251.29.76,,,
kiss,2200,2/8/13,73034,Oklahoma,112.241.91.242,,,
kiss,1688,2/8/13,29220,South Carolina,80.198.71.208,,,
kiss,2152,2/8/13,20195,Virginia,234.134.103.21,,,
kiss,2176,2/8/13,21405,Maryland,246.210.117.35,,,
kiss,2072,2/8/13,78749,Texas,0.62.222.25,,,
kisses,2272,2/8/13,70033,Louisiana,169.66.188.204,,,
kisses,3208,2/8/13,78732,Texas,156.148.142.202,,,
kisses,3192,2/8/13,29625,South Carolina,52.253.111.41,,,
kisses,3144,2/8/13,98687,Washington,225.153.135.220,,,
kisses,2960,2/8/13,32526,Florida,218.180.183.67,,,
kisses,1736,2/8/13,96815,Hawaii,21.48.135.52,,,
kisses,2912,2/8/13,48555,Michigan,192.123.252.111,,,
lavender,328,2/8/13,23663,Virginia,239.64.56.157,,,
valentine,2792,2/8/13,75205,Texas,72.107.174.222,,,
valentine,2168,2/8/13,20022,District of Columbia,17.192.233.176,,,
valentine,2384,2/8/13,89087,Nevada,200.252.151.250,,,
valentine,1832,2/8/13,22205,Virginia,139.238.167.149,,,
basically,1600,2/9/13,99205,Washington,202.48.115.121,,,
cupid,3472,2/9/13,59105,Montana,148.72.168.89,,,
cupid,3416,2/9/13,45296,Ohio,61.73.130.33,,,
heart,2112,2/9/13,90050,California,61.175.102.129,,,
heart,3352,2/9/13,91505,California,0.223.15.32,,,
heart,3080,2/9/13,75397,Texas,75.179.190.11,,,
heart,1864,2/9/13,32859,Florida,186.220.209.54,,,
heart,1968,2/9/13,46221,Indiana,53.12.170.121,,,
heart,2032,2/9/13,92519,California,76.17.44.253,,,
hershey,2536,2/9/13,91125,California,145.249.83.125,,,
hershey,3432,2/9/13,46202,Indiana,183.18.114.171,,,
hershey,1648,2/9/13,6510,Connecticut,134.105.42.237,,,
hershey,2360,2/9/13,97255,Oregon,222.108.94.89,,,
hershey,3248,2/9/13,78230,Texas,153.92.70.223,,,
hershey,1904,2/9/13,71115,Louisiana,176.224.87.170,,,
hershey,2552,2/9/13,30089,Georgia,238.124.49.226,,,
kiss,1616,2/9/13,78769,Texas,153.145.81.81,,,
kiss,1824,2/9/13,94302,California,204.90.83.92,,,
kiss,3440,2/9/13,50936,Iowa,16.195.119.30,,,
kiss,2024,2/9/13,37410,Tennessee,126.60.76.144,,,
kisses,2400,2/9/13,34238,Florida,94.149.153.29,,,
kisses,3184,2/9/13,97075,Oregon,144.80.173.247,,,
national,1928,2/9/13,20508,District of Columbia,159.128.226.168,,,
valentine,3280,2/9/13,10459,New York,82.106.225.250,,,
valentine,3384,2/9/13,19115,Pennsylvania,180.252.105.86,,,
valentine,3528,2/9/13,55579,Minnesota,195.232.95.27,,,
valentine,3104,2/9/13,94807,California,31.44.126.181,,,
valentine,2632,2/9/13,30368,Georgia,67.73.193.250,,,
valentine,3296,2/9/13,43605,Ohio,242.197.123.34,,,
valentine,2904,2/9/13,95118,California,87.117.143.71,,,
valentine,2368,2/9/13,32868,Florida,227.125.225.194,,,
valentine,2040,2/9/13,6140,Connecticut,141.25.92.206,,,
valentine,2560,2/9/13,90101,California,71.114.0.98,,,
commercial,1352,2/10/13,27705,North Carolina,243.76.244.101,,,
cupid,2544,2/10/13,22212,Virginia,43.186.223.142,,,
cupid,2296,2/10/13,8638,New Jersey,127.53.196.93,,,
cupid,1768,2/10/13,80150,Colorado,144.163.6.177,,,
cupid,3248,2/10/13,33315,Florida,208.26.238.78,,,
cupid,3024,2/10/13,14905,New York,122.236.88.64,,,
cupid,2280,2/10/13,30306,Georgia,108.126.106.34,,,
cupid,3104,2/10/13,92105,California,146.224.192.61,,,
cupid,1624,2/10/13,14619,New York,153.108.191.251,,,
heart,1944,2/10/13,20551,District of Columbia,82.151.56.228,,,
heart,1608,2/10/13,10280,New York,220.38.158.219,,,
heart,2352,2/10/13,64153,Missouri,240.233.235.172,,,
heart,2536,2/10/13,92717,California,33.21.91.161,,,
heart,2240,2/10/13,98109,Washington,219.39.211.179,,,
hershey,2952,2/10/13,74103,Oklahoma,187.168.88.39,,,
hershey,1624,2/10/13,46614,Indiana,184.224.53.188,,,
hershey,2432,2/10/13,32412,Florida,29.202.15.67,,,
hershey,3104,2/10/13,76198,Texas,196.208.252.232,,,
hershey,2232,2/10/13,30089,Georgia,255.216.29.206,,,
hershey,1736,2/10/13,75037,Texas,31.240.120.212,,,
hershey,3432,2/10/13,35210,Alabama,213.78.172.73,,,
hershey,2136,2/10/13,83206,Idaho,118.89.104.3,,,
hershey,1992,2/10/13,77554,Texas,10.82.70.159,,,
hershey,2768,2/10/13,65218,Missouri,34.66.124.28,,,
kiss,2296,2/10/13,22096,Virginia,18.73.201.239,,,
kiss,3288,2/10/13,11054,New York,106.46.93.112,,,
kiss,3176,2/10/13,32610,Florida,236.162.217.198,,,
kiss,2968,2/10/13,60646,Illinois,41.120.18.182,,,
kisses,3504,2/10/13,77293,Texas,182.131.111.140,,,
kisses,3416,2/10/13,92186,California,138.87.195.23,,,
kisses,3560,2/10/13,85705,Arizona,21.40.18.247,,,
kisses,2408,2/10/13,93106,California,253.174.94.155,,,
valentine,2824,2/10/13,57193,South Dakota,82.81.65.158,,,
valentine,3368,2/10/13,23612,Virginia,235.88.183.1,,,
valentine,1792,2/10/13,30092,Georgia,79.193.134.59,,,
valentine,1768,2/10/13,2298,Massachusetts,2.202.32.124,,,
valentine,2720,2/10/13,10039,New York,23.85.159.208,,,
valentine,3288,2/10/13,14652,New York,53.229.29.147,,,
watch,744,2/10/13,44197,Ohio,226.186.188.76,,,
cupid,2000,2/11/13,7305,New Jersey,192.131.146.129,,,
cupid,2584,2/11/13,28405,North Carolina,244.32.8.215,,,
cupid,2368,2/11/13,88553,Texas,165.53.72.167,,,
cupid,2784,2/11/13,17405,Pennsylvania,219.104.204.205,,,
cupid,2672,2/11/13,32595,Florida,189.250.245.237,,,
cupid,3312,2/11/13,32215,Florida,82.22.1.240,,,
cupid,1768,2/11/13,90060,California,4.123.24.95,,,
file,1864,2/11/13,22244,Virginia,196.187.33.185,,,
heart,2360,2/11/13,33647,Florida,35.139.96.56,,,
heart,2416,2/11/13,75221,Texas,30.228.127.29,,,
heart,2992,2/11/13,48670,Michigan,10.135.4.86,,,
heart,1912,2/11/13,77281,Texas,103.90.231.253,,,
heart,1624,2/11/13,80305,Colorado,234.126.86.5,,,
heart,2048,2/11/13,84115,Utah,159.239.25.48,,,
heart,1880,2/11/13,11225,New York,127.237.44.242,,,
heart,3048,2/11/13,78426,Texas,128.121.147.254,,,
heart,2176,2/11/13,94712,California,195.19.241.119,,,
hershey,1824,2/11/13,20167,Virginia,170.10.49.222,,,
hershey,3288,2/11/13,95155,California,35.226.44.213,,,
hershey,2696,2/11/13,50936,Iowa,132.121.227.136,,,
hershey,2360,2/11/13,53205,Wisconsin,205.59.117.50,,,
hershey,2536,2/11/13,28210,North Carolina,215.63.60.20,,,
hershey,3240,2/11/13,38308,Tennessee,19.167.124.151,,,
horny,728,2/11/13,33034,Florida,8.147.227.248,,,
kiss,2752,2/11/13,25389,West Virginia,57.194.154.90,,,
kiss,3024,2/11/13,53234,Wisconsin,113.102.77.227,,,
kiss,2800,2/11/13,68134,Nebraska,246.180.117.191,,,
kiss,2472,2/11/13,33147,Florida,193.203.73.210,,,
kiss,3368,2/11/13,21281,Maryland,137.53.22.4,,,
kiss,1640,2/11/13,23285,Virginia,97.15.196.88,,,
kiss,3240,2/11/13,80161,Colorado,199.132.68.244,,,
kiss,1784,2/11/13,77288,Texas,136.30.194.223,,,
kiss,2768,2/11/13,46231,Indiana,83.36.236.254,,,
kiss,3224,2/11/13,20231,District of Columbia,199.120.104.230,,,
kisses,2624,2/11/13,98687,Washington,48.27.209.201,,,
kisses,2960,2/11/13,78296,Texas,22.198.111.116,,,
makey,1448,2/11/13,34238,Florida,106.199.223.160,,,
valentine,2304,2/11/13,19104,Pennsylvania,182.55.213.236,,,
valentine,2752,2/11/13,10203,New York,28.111.99.223,,,
valentine,1776,2/11/13,20540,District of Columbia,159.73.182.203,,,
valentine,2632,2/11/13,60652,Illinois,151.232.6.216,,,
valentine,1624,2/11/13,12222,New York,114.12.129.165,,,
valentine,2176,2/11/13,76121,Texas,158.241.159.78,,,
valentine,2344,2/11/13,92883,California,225.16.131.161,,,
valentine,2464,2/11/13,33436,Florida,201.210.51.169,,,
valentine,1880,2/11/13,91103,California,253.91.157.163,,,
valentine,2192,2/11/13,33411,Florida,36.106.247.90,,,
beginning,904,2/12/13,76105,Texas,116.74.19.0,,,
cupid,3048,2/12/13,55598,Minnesota,99.149.244.125,,,
cupid,3096,2/12/13,2283,Massachusetts,206.188.19.252,,,
cupid,2128,2/12/13,28289,North Carolina,209.68.249.250,,,
cupid,2256,2/12/13,44111,Ohio,26.224.37.205,,,
cupid,1680,2/12/13,6721,Connecticut,33.73.238.81,,,
cupid,3248,2/12/13,79945,Texas,229.195.14.119,,,
cupid,3264,2/12/13,87190,New Mexico,219.41.254.244,,,
cupid,3048,2/12/13,7195,New Jersey,9.228.48.125,,,
cupid,2760,2/12/13,77223,Texas,75.179.22.128,,,
heart,2944,2/12/13,29625,South Carolina,151.116.47.132,,,
hershey,1696,2/12/13,10105,New York,96.148.163.202,,,
kiss,1712,2/12/13,55551,Minnesota,207.142.154.224,,,
kiss,2696,2/12/13,68124,Nebraska,241.42.12.62,,,
kiss,3272,2/12/13,10184,New York,133.73.120.60,,,
kisses,3000,2/12/13,38119,Tennessee,210.41.176.36,,,
kisses,3232,2/12/13,2472,Massachusetts,28.178.40.71,,,
kisses,2376,2/12/13,78783,Texas,235.51.8.240,,,
kisses,3168,2/12/13,24040,Virginia,91.134.250.157,,,
kisses,1928,2/12/13,32215,Florida,123.215.17.37,,,
kisses,3544,2/12/13,36622,Alabama,88.149.108.255,,,
kisses,2256,2/12/13,70154,Louisiana,199.23.55.248,,,
kisses,2792,2/12/13,78682,Texas,146.60.225.55,,,
national,712,2/12/13,35236,Alabama,97.219.179.205,,,
reasons,824,2/12/13,20591,District of Columbia,210.36.114.4,,,
valentine,1832,2/12/13,31296,Georgia,18.29.96.87,,,
valentine,1848,2/12/13,99812,Alaska,20.197.181.131,,,
valentine,2856,2/12/13,80161,Colorado,127.152.198.55,,,
valentine,2928,2/12/13,38143,Tennessee,205.100.235.220,,,
valentine,1800,2/12/13,6127,Connecticut,117.56.211.182,,,
valentine,2880,2/12/13,91499,California,213.4.51.81,,,
valentine,1792,2/12/13,68124,Nebraska,213.61.132.242,,,
valentine,3088,2/12/13,53779,Wisconsin,220.240.121.118,,,
valentine,3024,2/12/13,19104,Pennsylvania,213.171.43.134,,,
cupid,2768,2/13/13,84152,Utah,82.163.4.96,,,
cupid,2536,2/13/13,26505,West Virginia,28.135.139.165,,,
folds,1464,2/13/13,10203,New York,171.221.176.160,,,
heart,2544,2/13/13,27610,North Carolina,81.42.244.185,,,
heart,3344,2/13/13,21211,Maryland,204.243.101.219,,,
heart,1696,2/13/13,33416,Florida,198.240.196.116,,,
hershey,3056,2/13/13,70129,Louisiana,142.125.31.56,,,
hershey,2312,2/13/13,95054,California,38.12.9.242,,,
hershey,3584,2/13/13,2208,Massachusetts,185.146.207.176,,,
hershey,2648,2/13/13,10014,New York,121.84.31.135,,,
hershey,2552,2/13/13,47712,Indiana,249.66.105.149,,,
hershey,2536,2/13/13,94627,California,75.132.45.186,,,
kiss,3304,2/13/13,6606,Connecticut,210.243.38.54,,,
kiss,2656,2/13/13,98175,Washington,93.81.181.246,,,
kiss,1792,2/13/13,25770,West Virginia,214.169.255.219,,,
kiss,2392,2/13/13,77060,Texas,26.199.168.166,,,
kiss,3208,2/13/13,95354,California,165.60.75.138,,,
kisses,3536,2/13/13,44393,Ohio,117.117.104.104,,,
kisses,2608,2/13/13,92812,California,254.226.85.14,,,
kisses,3088,2/13/13,75397,Texas,4.226.49.221,,,
kisses,2312,2/13/13,14624,New York,123.165.160.229,,,
kisses,3456,2/13/13,31296,Georgia,97.134.214.186,,,
valentine,2528,2/13/13,48912,Michigan,104.46.65.65,,,
valentine,3256,2/13/13,96810,Hawaii,26.170.78.160,,,
valentine,2056,2/13/13,32825,Florida,238.179.181.61,,,
valentine,1696,2/13/13,63180,Missouri,106.60.48.202,,,
valentine,1848,2/13/13,25326,West Virginia,5.67.251.51,,,
valentine,2632,2/13/13,43226,Ohio,226.142.67.138,,,
appreciates,808,2/14/13,43610,Ohio,181.196.166.191,,,
horowitz,600,2/14/13,32575,Florida,148.97.249.67,,,
ideas,1296,2/14/13,1905,Massachusetts,59.20.137.26,,,
presents,608,2/14/13,22036,Virginia,123.40.1.126,,,
trinket,1264,2/14/13,30386,Georgia,181.51.2.62,,,
worried,976,2/14/13,6120,Connecticut,235.147.169.170,,,
candy,1288,2/15/13,95138,California,53.48.171.68,,,
friends,1136,2/15/13,77075,Texas,69.245.25.133,,,
future,872,2/15/13,33169,Florida,216.175.188.248,,,
politicbot,1920,2/15/13,88541,Texas,70.206.104.55,,,
silly,1856,2/15/13,20470,District of Columbia,100.150.41.223,,,
carton,256,2/16/13,17121,Pennsylvania,148.248.118.159,,,
feet,1184,2/16/13,27455,North Carolina,65.24.158.138,,,
gift,1480,2/16/13,34479,Florida,115.233.231.210,,,
picture,2000,2/16/13,79165,Texas,174.22.133.248,,,
reasons,520,2/16/13,94405,California,105.112.224.172,,,
share,1224,2/16/13,77705,Texas,117.199.17.233,,,
youre,376,2/17/13,63121,Missouri,224.183.51.3,,,
blossoms,264,2/18/13,85255,Arizona,250.160.37.40,,,
hungry,736,2/18/13,75074,Texas,82.12.175.176,,,
mahone,1328,2/18/13,98417,Washington,38.176.96.187,,,
national,256,2/18/13,61105,Illinois,179.151.255.158,,,
tutorial,1264,2/18/13,53710,Wisconsin,227.65.244.205,,,
watch,1128,2/18/13,89074,Nevada,9.250.199.78,,,
write,288,2/18/13,2109,Massachusetts,255.133.153.119,,,
favorite,1808,2/19/13,93381,California,31.228.47.87,,,
forget,936,2/19/13,85260,Arizona,198.164.240.247,,,
treat,752,2/19/13,20816,Maryland,96.20.12.209,,,
falling,1000,2/20/13,46239,Indiana,147.14.50.203,,,
friends,208,2/20/13,85210,Arizona,125.24.94.56,,,
juice,208,2/20/13,35210,Alabama,224.64.60.196,,,
osmond,1704,2/21/13,66220,Kansas,245.243.100.131,,,
redstate,1808,2/21/13,78783,Texas,179.112.109.175,,,
share,1512,2/21/13,85710,Arizona,123.247.206.88,,,
thought,1608,2/21/13,79105,Texas,235.93.154.255,,,
blossoms,1008,2/22/13,55458,Minnesota,232.47.254.202,,,
diamond,840,2/22/13,18105,Pennsylvania,35.49.107.212,,,
feet,248,2/22/13,92668,California,128.11.226.83,,,
peanut,872,2/22/13,17110,Pennsylvania,4.199.255.187,,,
play,1000,2/22/13,94705,California,6.181.34.10,,,
recipe,1680,2/22/13,89436,Nevada,93.16.54.75,,,
subscribe,952,2/22/13,97255,Oregon,152.15.113.191,,,
subscribe,616,2/22/13,38150,Tennessee,155.196.244.179,,,
worried,1240,2/22/13,34135,Florida,30.209.37.174,,,
creative,1592,2/23/13,85010,Arizona,59.9.34.52,,,
kiss1016,200,2/23/13,37240,Tennessee,232.72.167.13,,,
kisses,1808,2/23/13,22156,Virginia,150.174.78.243,,,
roses,1936,2/23/13,44197,Ohio,228.68.77.7,,,
cake,608,2/24/13,99517,Alaska,176.140.113.232,,,
comment,1208,2/24/13,48604,Michigan,82.202.48.158,,,
gift,784,2/24/13,27105,North Carolina,44.31.155.49,,,
ideas,1056,2/24/13,60636,Illinois,193.143.146.8,,,
paper,1464,2/24/13,47937,Indiana,33.118.56.124,,,
asleep,952,2/25/13,37210,Tennessee,227.84.238.40,,,
falling,1352,2/25/13,27409,North Carolina,151.41.185.178,,,
time,1216,2/25/13,77060,Texas,158.10.78.134,,,
tree,992,2/25/13,2912,Rhode Island,222.96.167.239,,,
birthday,680,2/26/13,85099,Arizona,55.192.76.185,,,
comment,1656,2/26/13,92013,California,223.96.56.23,,,
creative,1656,2/26/13,39296,Mississippi,187.171.191.177,,,
marie,848,2/26/13,23464,Virginia,20.72.217.139,,,
work,1728,2/26/13,2203,Massachusetts,31.64.173.64,,,
easy,656,2/27/13,77346,Texas,244.78.231.20,,,
fireworks,1968,2/27/13,10150,New York,4.244.202.42,,,
hold,984,2/27/13,60630,Illinois,22.100.197.222,,,
humorous,1880,2/27/13,48555,Michigan,53.189.164.186,,,
reasons,1168,2/27/13,32399,Florida,171.242.15.181,,,
roses,1120,2/27/13,95173,California,134.237.82.53,,,
campaign,1864,2/28/13,55146,Minnesota,182.209.152.187,,,
modules,1448,2/28/13,90398,California,91.1.64.150,,,
subscribe,928,2/28/13,91606,California,125.41.9.95,,,
tower,1128,2/28/13,87121,New Mexico,236.118.57.18,,,
balloons,760,3/2/13,3105,New Hampshire,17.168.211.54,,,
favors,320,3/2/13,2745,Massachusetts,10.7.245.132,,,
gift,952,3/2/13,68164,Nebraska,131.5.33.109,,,
hershey,1208,3/2/13,92170,California,94.122.135.2,,,
hold,736,3/2/13,28272,North Carolina,188.186.212.45,,,
humorous,1592,3/2/13,24024,Virginia,55.87.242.216,,,
osmond,1456,3/2/13,20310,District of Columbia,35.225.39.72,,,
situation,1152,3/2/13,28256,North Carolina,143.245.183.237,,,
share,1288,3/3/13,78721,Texas,250.85.121.89,,,
kissing,1920,3/4/13,40293,Kentucky,114.84.7.194,,,
relaxing,1152,3/4/13,95828,California,92.109.231.207,,,
giant,1080,3/5/13,71151,Louisiana,33.57.181.74,,,
eatinglicking,1440,3/6/13,95405,California,230.193.254.138,,,
share,1888,3/6/13,66629,Kansas,174.58.44.178,,,
subscribe,1056,3/6/13,37240,Tennessee,195.24.51.124,,,
feeling,208,3/7/13,6912,Connecticut,212.143.2.131,,,
osmond,552,3/7/13,20546,District of Columbia,177.180.135.40,,,
peanut,256,3/7/13,48901,Michigan,255.244.235.190,,,
cake,384,3/8/13,72215,Arkansas,12.138.6.103,,,
click,1000,3/8/13,31296,Georgia,170.191.199.195,,,
folds,1328,3/8/13,19178,Pennsylvania,57.53.25.127,,,
videos,1856,3/8/13,30605,Georgia,62.110.204.21,,,
silly,600,3/9/13,99512,Alaska,247.235.111.100,,,
stories,1080,3/9/13,6816,Connecticut,67.138.253.7,,,
cheers,448,3/10/13,28815,North Carolina,76.11.243.142,,,
hack,1048,3/10/13,33185,Florida,126.253.151.46,,,
austin,1400,3/11/13,99512,Alaska,172.237.60.189,,,
feeling,656,3/11/13,28215,North Carolina,225.198.206.231,,,
friends,528,3/11/13,15205,Pennsylvania,214.112.6.108,,,
holder,1184,3/11/13,10034,New York,38.119.253.68,,,
night,1464,3/11/13,71105,Louisiana,34.106.148.219,,,
suggestions,1632,3/11/13,34114,Florida,17.24.225.147,,,
unwrap,528,3/11/13,45249,Ohio,97.14.80.92,,,
crying,800,3/12/13,33884,Florida,24.79.5.109,,,
eatinglicking,1408,3/12/13,80279,Colorado,158.221.207.39,,,
time,640,3/12/13,2142,Massachusetts,177.110.25.38,,,
humorous,800,3/13/13,7104,New Jersey,104.253.51.21,,,
lavender,664,3/13/13,64101,Missouri,196.93.6.89,,,
balloons,1072,3/14/13,95173,California,152.182.146.110,,,
list,1968,3/14/13,85246,Arizona,63.210.238.5,,,
literally,1472,3/14/13,66160,Kansas,188.43.173.170,,,
situation,984,3/14/13,98127,Washington,188.129.38.215,,,
unwrap,1328,3/14/13,10606,New York,6.143.105.133,,,
youre,576,3/14/13,70142,Louisiana,202.136.116.52,,,
crying,1848,3/15/13,98664,Washington,131.49.140.197,,,
quotes,1256,3/15/13,28410,North Carolina,213.170.142.77,,,
studios,1184,3/15/13,13210,New York,135.73.154.171,,,
guys,1960,3/17/13,64144,Missouri,93.192.135.77,,,
kiss,1928,3/17/13,36616,Alabama,102.182.112.47,,,
personalized,1928,3/17/13,88530,Texas,36.188.27.203,,,
