_id,event_date,event_hour,event,e_count
327918,3/9/2013,13,Posted Product Review,1
345858,1/27/2013,1,Posted Product Review,1
345858,2/6/2013,9,Posted Product Review,1
381710,1/19/2013,10,Posted Product Review,1
421982,3/5/2013,13,Posted Product Review,1
426421,1/4/2013,9,Posted Product Review,1
431566,2/27/2013,9,Posted Product Review,1
436345,3/3/2013,7,Posted Product Review,1
436345,1/9/2013,15,Posted Product Review,1
437757,2/4/2013,14,Posted Product Review,1
446993,3/6/2013,4,Posted Product Review,1
447293,2/27/2013,6,Posted Product Review,1
490265,1/29/2013,6,Posted Product Review,1
521742,1/6/2013,8,Posted Product Review,1
521742,2/5/2013,9,Posted Product Review,1
521742,2/7/2013,23,Posted Product Review,1
529127,2/21/2013,2,Posted Product Review,1
564993,2/19/2013,5,Posted Product Review,1
592732,1/5/2013,11,Posted Product Review,1
594860,1/5/2013,19,Posted Product Review,1
613368,2/21/2013,6,Posted Product Review,1
616491,1/6/2013,10,Posted Product Review,1
624153,1/21/2013,2,Posted Product Review,1
636158,2/10/2013,23,Posted Product Review,1
711195,2/1/2013,0,Posted Product Review,1
711195,1/2/2013,10,Posted Product Review,1
712931,3/5/2013,10,Posted Product Review,1
714399,2/7/2013,9,Posted Product Review,1
740076,1/7/2013,21,Posted Product Review,1
822845,1/22/2013,0,Posted Product Review,1
822845,2/6/2013,13,Posted Product Review,1
865794,1/20/2013,15,Posted Product Review,1
929744,2/23/2013,10,Posted Product Review,1
967274,3/9/2013,16,Posted Product Review,1
967274,3/8/2013,18,Posted Product Review,1
967274,2/9/2013,3,Posted Product Review,1
1000465,1/19/2013,11,Posted Product Review,1
1024249,2/17/2013,18,Posted Product Review,1
1098144,2/18/2013,8,Posted Product Review,1
1100496,1/22/2013,20,Posted Product Review,1
1128665,1/30/2013,10,Posted Product Review,1
1155271,2/2/2013,21,Posted Product Review,1
1158810,2/25/2013,1,Posted Product Review,1
1171950,2/8/2013,14,Posted Product Review,1
1182504,1/15/2013,20,Posted Product Review,1
1224438,1/12/2013,12,Posted Product Review,1
1236443,1/16/2013,18,Posted Product Review,1
1250009,3/6/2013,20,Posted Product Review,1
1274232,1/1/2013,11,Posted Product Review,1
1277580,3/8/2013,9,Posted Product Review,1
1277580,3/3/2013,2,Posted Product Review,1
1343273,1/5/2013,15,Posted Product Review,1
1360310,1/7/2013,3,Posted Product Review,1
1360508,1/24/2013,11,Posted Product Review,1
1360508,3/9/2013,13,Posted Product Review,1
1404179,1/14/2013,19,Posted Product Review,1
1417736,1/15/2013,19,Posted Product Review,1
1421736,1/13/2013,1,Posted Product Review,1
1450820,2/1/2013,21,Posted Product Review,1
1466756,1/19/2013,4,Posted Product Review,1
1502228,1/22/2013,8,Posted Product Review,1
1521131,2/7/2013,7,Posted Product Review,1
1528685,1/24/2013,16,Posted Product Review,1
1528685,2/4/2013,7,Posted Product Review,1
1528685,2/2/2013,15,Posted Product Review,1
1559157,3/1/2013,18,Posted Product Review,1
1568261,1/28/2013,4,Posted Product Review,1
1611706,1/9/2013,13,Posted Product Review,1
1705496,2/6/2013,14,Posted Product Review,1
1717753,2/11/2013,11,Posted Product Review,1
1734630,2/13/2013,3,Posted Product Review,1
1742252,2/5/2013,4,Posted Product Review,1
1742252,1/27/2013,18,Posted Product Review,1
1742252,1/26/2013,6,Posted Product Review,1
1800583,2/20/2013,4,Posted Product Review,1
1829598,2/21/2013,8,Posted Product Review,1
1880684,2/27/2013,6,Posted Product Review,1
1985182,3/6/2013,8,Posted Product Review,1
1995798,2/25/2013,3,Posted Product Review,1
2006707,1/1/2013,0,Posted Product Review,1
2019082,3/8/2013,22,Posted Product Review,1
2023334,3/9/2013,1,Posted Product Review,1
2061286,2/5/2013,7,Posted Product Review,1
2083631,3/8/2013,9,Posted Product Review,1
2101456,1/22/2013,9,Posted Product Review,1
2155724,1/20/2013,23,Posted Product Review,1
2155724,1/27/2013,8,Posted Product Review,1
2181021,1/27/2013,2,Posted Product Review,1
2228619,3/8/2013,13,Posted Product Review,1
2243064,1/4/2013,7,Posted Product Review,1
2245578,3/9/2013,7,Posted Product Review,1
2245632,1/1/2013,1,Posted Product Review,1
2298433,2/17/2013,22,Posted Product Review,1
2309245,2/3/2013,23,Posted Product Review,1
2309245,2/16/2013,3,Posted Product Review,1
2372445,2/25/2013,23,Posted Product Review,1
2372445,1/10/2013,0,Posted Product Review,1
2409899,3/4/2013,11,Posted Product Review,1
2422670,1/8/2013,22,Posted Product Review,1
2441650,1/11/2013,6,Posted Product Review,1
2441650,1/3/2013,21,Posted Product Review,1
2441650,2/20/2013,3,Posted Product Review,1
2441650,1/19/2013,16,Posted Product Review,1
2446893,2/19/2013,9,Posted Product Review,1
2454935,1/12/2013,16,Posted Product Review,1
2495151,1/14/2013,20,Posted Product Review,1
2535155,2/13/2013,0,Posted Product Review,1
2538720,2/16/2013,23,Posted Product Review,1
2538720,1/9/2013,23,Posted Product Review,1
2538720,2/9/2013,22,Posted Product Review,1
2543821,1/18/2013,22,Posted Product Review,1
2543821,2/23/2013,12,Posted Product Review,1
2548018,1/29/2013,11,Posted Product Review,1
2548018,1/15/2013,23,Posted Product Review,1
2566736,1/20/2013,22,Posted Product Review,1
2748530,3/6/2013,5,Posted Product Review,1
2765810,1/23/2013,13,Posted Product Review,1
2782113,3/5/2013,19,Posted Product Review,1
2867777,2/5/2013,20,Posted Product Review,1
2867777,2/22/2013,18,Posted Product Review,1
2874330,3/2/2013,8,Posted Product Review,1
2937427,3/8/2013,8,Posted Product Review,1
2937427,1/22/2013,4,Posted Product Review,1
2960479,2/12/2013,15,Posted Product Review,1
3107997,2/18/2013,9,Posted Product Review,1
3110624,1/1/2013,12,Posted Product Review,1
3110624,1/24/2013,19,Posted Product Review,1
3171506,2/23/2013,2,Posted Product Review,1
3201774,2/24/2013,17,Posted Product Review,1
3225061,2/25/2013,8,Posted Product Review,1
3243359,2/27/2013,22,Posted Product Review,1
3256159,2/23/2013,19,Posted Product Review,1
3263628,2/6/2013,22,Posted Product Review,1
3263628,1/18/2013,16,Posted Product Review,1
3384234,3/6/2013,3,Posted Product Review,1
3398239,2/19/2013,20,Posted Product Review,1
3398239,1/11/2013,11,Posted Product Review,1
3415754,2/6/2013,1,Posted Product Review,1
3504968,2/12/2013,8,Posted Product Review,1
3578561,3/5/2013,0,Posted Product Review,1
3583891,1/31/2013,1,Posted Product Review,1
3583891,2/7/2013,6,Posted Product Review,1
3669745,3/1/2013,6,Posted Product Review,1
3814002,1/11/2013,2,Posted Product Review,1
3856068,2/8/2013,22,Posted Product Review,1
3860394,2/16/2013,12,Posted Product Review,1
3869384,2/19/2013,23,Posted Product Review,1
3883853,2/16/2013,0,Posted Product Review,1
3902871,3/5/2013,23,Posted Product Review,1
3902871,2/15/2013,9,Posted Product Review,1
4076256,1/14/2013,8,Posted Product Review,1
4121943,1/9/2013,7,Posted Product Review,1
4136964,1/24/2013,1,Posted Product Review,1
4158894,2/14/2013,6,Posted Product Review,1
4161609,2/6/2013,22,Posted Product Review,1
4202275,1/26/2013,21,Posted Product Review,1
4202275,2/6/2013,21,Posted Product Review,1
4233665,2/11/2013,17,Posted Product Review,1
4335379,1/11/2013,15,Posted Product Review,1
4335379,2/24/2013,11,Posted Product Review,1
4369802,1/29/2013,17,Posted Product Review,1
4382615,2/25/2013,20,Posted Product Review,1
4413136,2/25/2013,0,Posted Product Review,1
4413378,3/6/2013,11,Posted Product Review,1
4446143,1/5/2013,23,Posted Product Review,1
4495730,2/25/2013,10,Posted Product Review,1
4541132,2/8/2013,15,Posted Product Review,1
4567615,2/25/2013,23,Posted Product Review,1
4583449,2/15/2013,23,Posted Product Review,1
4614077,1/14/2013,13,Posted Product Review,1
4622136,2/5/2013,4,Posted Product Review,1
4739155,1/15/2013,0,Posted Product Review,1
4753277,1/16/2013,7,Posted Product Review,1
4783104,2/20/2013,10,Posted Product Review,1
4783104,2/7/2013,0,Posted Product Review,1
4792879,2/19/2013,8,Posted Product Review,1
4792879,3/1/2013,6,Posted Product Review,1
4805778,1/14/2013,14,Posted Product Review,1
4895535,2/1/2013,8,Posted Product Review,1
4937669,3/4/2013,18,Posted Product Review,1
4937669,2/24/2013,20,Posted Product Review,1
4979866,1/14/2013,16,Posted Product Review,1
4983449,2/20/2013,22,Posted Product Review,1
5001684,2/11/2013,20,Posted Product Review,1
5093247,2/23/2013,2,Posted Product Review,1
5094475,3/7/2013,17,Posted Product Review,1
5127615,3/5/2013,1,Posted Product Review,1
5129886,2/26/2013,10,Posted Product Review,1
5171229,1/10/2013,15,Posted Product Review,1
5218909,2/19/2013,21,Posted Product Review,1
5223721,2/22/2013,10,Posted Product Review,1
5241848,3/9/2013,21,Posted Product Review,1
5265166,3/7/2013,7,Posted Product Review,1
5265166,1/26/2013,15,Posted Product Review,1
5268324,1/19/2013,0,Posted Product Review,1
5268324,1/10/2013,17,Posted Product Review,1
5276215,1/14/2013,14,Posted Product Review,1
5355801,3/2/2013,17,Posted Product Review,1
5394912,1/3/2013,9,Posted Product Review,1
5438577,1/1/2013,7,Posted Product Review,1
5438577,1/17/2013,22,Posted Product Review,1
5445467,1/4/2013,17,Posted Product Review,1
5455559,1/14/2013,18,Posted Product Review,1
5473009,1/7/2013,3,Posted Product Review,1
5505219,1/8/2013,1,Posted Product Review,1
5591396,2/20/2013,4,Posted Product Review,1
5608691,1/6/2013,8,Posted Product Review,1
5617588,1/12/2013,4,Posted Product Review,1
5702722,1/31/2013,19,Posted Product Review,1
5702722,2/28/2013,7,Posted Product Review,1
5703011,1/18/2013,13,Posted Product Review,1
5711594,2/26/2013,22,Posted Product Review,1
5751175,1/18/2013,23,Posted Product Review,1
5766532,1/14/2013,15,Posted Product Review,1
5822843,1/27/2013,12,Posted Product Review,1
5918680,2/21/2013,18,Posted Product Review,1
5975945,2/2/2013,10,Posted Product Review,1
6018984,2/5/2013,8,Posted Product Review,1
6018984,1/9/2013,14,Posted Product Review,1
6018984,1/19/2013,9,Posted Product Review,1
6050437,2/2/2013,8,Posted Product Review,1
6056334,1/6/2013,19,Posted Product Review,1
6074086,1/3/2013,2,Posted Product Review,1
6086651,2/28/2013,21,Posted Product Review,1
6269514,3/2/2013,0,Posted Product Review,1
6285951,1/13/2013,23,Posted Product Review,1
6289675,2/19/2013,12,Posted Product Review,1
6344071,2/7/2013,15,Posted Product Review,1
6348180,2/21/2013,20,Posted Product Review,1
6354938,2/21/2013,21,Posted Product Review,1
6395442,2/24/2013,3,Posted Product Review,1
6417633,2/26/2013,7,Posted Product Review,1
6513107,2/13/2013,21,Posted Product Review,1
6563171,3/4/2013,0,Posted Product Review,1
6576282,3/4/2013,22,Posted Product Review,1
6615719,2/28/2013,17,Posted Product Review,1
6615719,1/7/2013,21,Posted Product Review,1
6615719,1/15/2013,10,Posted Product Review,1
6635545,3/7/2013,10,Posted Product Review,1
6641721,3/7/2013,12,Posted Product Review,1
6699873,3/9/2013,10,Posted Product Review,1
6702531,3/1/2013,18,Posted Product Review,1
6724279,1/7/2013,1,Posted Product Review,1
6730805,1/7/2013,11,Posted Product Review,1
6763812,2/3/2013,6,Posted Product Review,1
6900590,1/8/2013,7,Posted Product Review,1
6946676,1/5/2013,21,Posted Product Review,1
6968216,1/2/2013,13,Posted Product Review,1
6974273,1/4/2013,10,Posted Product Review,1
7011332,1/3/2013,21,Posted Product Review,1
7011474,1/4/2013,5,Posted Product Review,1
7044865,1/9/2013,23,Posted Product Review,1
7044865,1/6/2013,20,Posted Product Review,1
7059046,2/27/2013,13,Posted Product Review,1
7109201,3/7/2013,18,Posted Product Review,1
7142472,2/28/2013,8,Posted Product Review,1
7142472,2/20/2013,18,Posted Product Review,1
7196508,1/9/2013,15,Posted Product Review,1
7228640,1/13/2013,4,Posted Product Review,1
7241198,2/5/2013,8,Posted Product Review,1
7252192,1/16/2013,6,Posted Product Review,1
7252192,1/6/2013,2,Posted Product Review,1
7252192,2/27/2013,15,Posted Product Review,1
7352430,2/24/2013,17,Posted Product Review,1
7352430,1/25/2013,18,Posted Product Review,1
7416337,2/18/2013,4,Posted Product Review,1
7416337,1/23/2013,6,Posted Product Review,1
7455676,1/25/2013,2,Posted Product Review,2
7482282,1/26/2013,9,Posted Product Review,1
7550433,2/28/2013,14,Posted Product Review,1
7556116,1/30/2013,17,Posted Product Review,1
7651989,2/6/2013,11,Posted Product Review,1
7668760,2/7/2013,20,Posted Product Review,1
7708481,2/11/2013,17,Posted Product Review,1
7874518,2/6/2013,0,Posted Product Review,1
7887702,2/18/2013,13,Posted Product Review,1
7936692,1/7/2013,21,Posted Product Review,1
7947026,2/21/2013,6,Posted Product Review,1
7955527,2/22/2013,1,Posted Product Review,1
7962923,3/1/2013,16,Posted Product Review,1
7999941,2/16/2013,1,Posted Product Review,1
7999941,1/16/2013,3,Posted Product Review,1
8052712,2/28/2013,6,Posted Product Review,1
8287364,3/7/2013,9,Posted Product Review,1
8333038,1/31/2013,15,Posted Product Review,1
8333038,1/23/2013,23,Posted Product Review,1
8337497,3/9/2013,2,Posted Product Review,1
8422980,2/1/2013,7,Posted Product Review,1
8439928,2/14/2013,17,Posted Product Review,1
8439928,2/24/2013,2,Posted Product Review,1
8439928,3/7/2013,14,Posted Product Review,1
8466884,1/10/2013,19,Posted Product Review,1
8469218,1/24/2013,13,Posted Product Review,1
8515716,1/2/2013,14,Posted Product Review,1
8515716,3/5/2013,1,Posted Product Review,1
8541303,3/1/2013,14,Posted Product Review,1
8548434,3/4/2013,23,Posted Product Review,1
8566516,1/3/2013,19,Posted Product Review,1
8626949,1/24/2013,12,Posted Product Review,1
8647697,1/10/2013,12,Posted Product Review,1
8647697,3/6/2013,6,Posted Product Review,1
8647697,1/7/2013,16,Posted Product Review,1
8647697,2/11/2013,7,Posted Product Review,1
8659059,2/20/2013,19,Posted Product Review,1
8664799,3/3/2013,18,Posted Product Review,1
8671033,2/26/2013,16,Posted Product Review,1
8671033,1/29/2013,14,Posted Product Review,1
8687466,3/8/2013,16,Posted Product Review,1
8727820,1/18/2013,16,Posted Product Review,1
8785151,2/19/2013,17,Posted Product Review,1
8785151,2/26/2013,19,Posted Product Review,1
8897546,1/22/2013,18,Posted Product Review,1
8897546,1/28/2013,19,Posted Product Review,1
8897546,2/7/2013,14,Posted Product Review,1
8912210,2/15/2013,2,Posted Product Review,1
8954708,2/14/2013,23,Posted Product Review,1
8961505,2/4/2013,18,Posted Product Review,1
8961505,3/6/2013,0,Posted Product Review,1
8961505,3/6/2013,20,Posted Product Review,1
8985648,1/21/2013,13,Posted Product Review,1
9014088,1/6/2013,0,Posted Product Review,1
9020175,2/5/2013,3,Posted Product Review,1
9023505,1/12/2013,17,Posted Product Review,1
9039678,2/17/2013,7,Posted Product Review,1
9051785,1/3/2013,8,Posted Product Review,1
9095410,2/22/2013,10,Posted Product Review,1
9095410,1/12/2013,19,Posted Product Review,1
9095410,1/31/2013,18,Posted Product Review,1
9166060,2/20/2013,9,Posted Product Review,1
9191426,1/17/2013,1,Posted Product Review,1
9217962,1/25/2013,19,Posted Product Review,1
9372752,2/19/2013,10,Posted Product Review,1
9421943,2/7/2013,15,Posted Product Review,1
9635875,1/27/2013,18,Posted Product Review,1
9678524,2/8/2013,17,Posted Product Review,1
9788732,1/8/2013,15,Posted Product Review,1
9792778,1/10/2013,19,Posted Product Review,1
9863383,2/23/2013,17,Posted Product Review,1
9863383,2/4/2013,5,Posted Product Review,1
9863383,1/10/2013,7,Posted Product Review,1
9867086,1/22/2013,12,Posted Product Review,1
9877909,3/7/2013,23,Posted Product Review,1
9877909,2/18/2013,11,Posted Product Review,1
9902563,1/26/2013,4,Posted Product Review,1
9928886,2/11/2013,13,Posted Product Review,1
9984826,1/23/2013,14,Posted Product Review,1
10020376,1/30/2013,1,Posted Product Review,1
10086919,2/13/2013,12,Posted Product Review,1
10119935,1/27/2013,18,Posted Product Review,1
10131629,1/4/2013,14,Posted Product Review,1
10131629,2/28/2013,2,Posted Product Review,1
10173050,1/1/2013,23,Posted Product Review,1
10173050,2/18/2013,1,Posted Product Review,1
10184118,1/11/2013,20,Posted Product Review,1
10208529,1/13/2013,6,Posted Product Review,1
10234623,2/3/2013,13,Posted Product Review,1
10258721,2/9/2013,12,Posted Product Review,1
10258721,2/23/2013,19,Posted Product Review,1
10283218,2/14/2013,6,Posted Product Review,1
10301538,2/15/2013,19,Posted Product Review,1
10315040,2/18/2013,21,Posted Product Review,1
10405854,1/16/2013,22,Posted Product Review,1
10420258,2/23/2013,17,Posted Product Review,1
10709711,2/13/2013,10,Posted Product Review,1
10725679,1/4/2013,7,Posted Product Review,1
10836660,1/9/2013,14,Posted Product Review,1
10955853,1/10/2013,9,Posted Product Review,1
10956849,3/3/2013,12,Posted Product Review,1
10989491,3/7/2013,6,Posted Product Review,1
11084476,1/20/2013,13,Posted Product Review,1
11153157,2/11/2013,15,Posted Product Review,1
11174115,2/27/2013,8,Posted Product Review,1
11219092,1/26/2013,7,Posted Product Review,1
11219092,2/6/2013,4,Posted Product Review,1
11219092,2/27/2013,5,Posted Product Review,1
11234437,1/23/2013,11,Posted Product Review,1
11271223,1/30/2013,0,Posted Product Review,1
11271223,1/7/2013,20,Posted Product Review,1
11271223,1/3/2013,10,Posted Product Review,1
11274683,1/3/2013,14,Posted Product Review,1
11313640,2/2/2013,7,Posted Product Review,1
11320186,1/18/2013,1,Posted Product Review,1
11320186,3/5/2013,3,Posted Product Review,1
11413744,2/4/2013,18,Posted Product Review,1
11415943,1/30/2013,16,Posted Product Review,1
11452055,1/6/2013,3,Posted Product Review,1
11460570,1/14/2013,3,Posted Product Review,1
11460570,2/11/2013,0,Posted Product Review,1
11501459,2/9/2013,17,Posted Product Review,1
11537984,2/11/2013,16,Posted Product Review,1
11545850,2/24/2013,12,Posted Product Review,1
11593894,2/27/2013,21,Posted Product Review,1
11593894,3/1/2013,3,Posted Product Review,1
11596885,2/12/2013,17,Posted Product Review,1
11601282,1/12/2013,11,Posted Product Review,1
11630302,2/13/2013,20,Posted Product Review,1
11674093,2/8/2013,15,Posted Product Review,1
11674093,3/8/2013,1,Posted Product Review,1
11728779,2/3/2013,0,Posted Product Review,1
11737057,2/17/2013,8,Posted Product Review,1
11866284,3/3/2013,3,Posted Product Review,1
11881205,2/25/2013,6,Posted Product Review,1
11893349,1/10/2013,18,Posted Product Review,1
11899674,2/24/2013,10,Posted Product Review,1
11909746,2/25/2013,19,Posted Product Review,1
11909746,1/11/2013,2,Posted Product Review,1
11915063,2/27/2013,9,Posted Product Review,1
11925348,1/5/2013,1,Posted Product Review,1
12010273,1/12/2013,20,Posted Product Review,1
12010273,1/14/2013,5,Posted Product Review,1
12051744,1/11/2013,9,Posted Product Review,1
12060523,1/3/2013,22,Posted Product Review,1
12144507,1/27/2013,2,Posted Product Review,1
12144507,1/3/2013,17,Posted Product Review,1
12169715,1/4/2013,1,Posted Product Review,1
12207129,1/28/2013,8,Posted Product Review,1
12207129,1/26/2013,13,Posted Product Review,1
12219439,1/5/2013,10,Posted Product Review,1
12282397,1/30/2013,12,Posted Product Review,1
12309660,2/14/2013,16,Posted Product Review,1
12344964,1/27/2013,18,Posted Product Review,1
12391729,1/19/2013,12,Posted Product Review,1
12502050,1/8/2013,12,Posted Product Review,1
12505797,2/5/2013,8,Posted Product Review,1
12505797,3/1/2013,11,Posted Product Review,1
12525924,2/17/2013,6,Posted Product Review,1
12578665,3/9/2013,11,Posted Product Review,1
12578665,3/3/2013,6,Posted Product Review,1
12581195,1/20/2013,5,Posted Product Review,1
12607026,1/1/2013,17,Posted Product Review,1
12607026,1/20/2013,9,Posted Product Review,1
12658678,2/11/2013,5,Posted Product Review,1
12659386,1/4/2013,15,Posted Product Review,1
12681920,3/1/2013,3,Posted Product Review,1
12700536,1/8/2013,17,Posted Product Review,1
12716092,1/28/2013,3,Posted Product Review,1
12804116,1/12/2013,11,Posted Product Review,1
12804116,1/14/2013,3,Posted Product Review,1
12804116,1/6/2013,16,Posted Product Review,1
12818460,1/14/2013,10,Posted Product Review,1
12861317,1/16/2013,4,Posted Product Review,1
12902873,3/5/2013,22,Posted Product Review,1
12902873,3/5/2013,10,Posted Product Review,1
12994324,2/16/2013,19,Posted Product Review,1
13040501,2/19/2013,20,Posted Product Review,1
13040501,1/25/2013,11,Posted Product Review,1
13040501,2/19/2013,23,Posted Product Review,1
13092829,1/22/2013,21,Posted Product Review,1
13096339,1/1/2013,8,Posted Product Review,1
13191518,1/29/2013,0,Posted Product Review,1
13191518,3/8/2013,0,Posted Product Review,1
13213814,2/27/2013,9,Posted Product Review,1
13288204,1/4/2013,15,Posted Product Review,1
13291846,2/2/2013,15,Posted Product Review,1
13304051,2/2/2013,16,Posted Product Review,1
13338132,2/7/2013,22,Posted Product Review,1
13413481,2/15/2013,10,Posted Product Review,1
13629513,1/19/2013,19,Posted Product Review,1
13633209,2/20/2013,6,Posted Product Review,1
13666916,1/16/2013,4,Posted Product Review,1
13711565,2/15/2013,11,Posted Product Review,1
13782916,2/26/2013,13,Posted Product Review,1
13782916,1/17/2013,0,Posted Product Review,1
13798550,2/27/2013,9,Posted Product Review,1
13863289,3/1/2013,16,Posted Product Review,1
13904332,2/24/2013,4,Posted Product Review,1
13973332,1/18/2013,18,Posted Product Review,1
14041822,3/6/2013,7,Posted Product Review,1
14135107,2/13/2013,1,Posted Product Review,1
14145484,3/2/2013,3,Posted Product Review,1
14265827,2/13/2013,8,Posted Product Review,1
14295503,1/8/2013,19,Posted Product Review,1
14341698,3/4/2013,22,Posted Product Review,1
14341698,2/16/2013,15,Posted Product Review,1
14369949,1/20/2013,4,Posted Product Review,1
14387388,1/8/2013,0,Posted Product Review,1
14397516,3/7/2013,7,Posted Product Review,1
14410730,3/8/2013,11,Posted Product Review,1
14437982,1/12/2013,6,Posted Product Review,1
14437982,2/10/2013,11,Posted Product Review,1
14443483,1/31/2013,3,Posted Product Review,1
14452684,2/16/2013,4,Posted Product Review,1
14452684,1/23/2013,18,Posted Product Review,1
14452684,2/21/2013,3,Posted Product Review,1
14472819,3/9/2013,17,Posted Product Review,1
14575145,1/19/2013,12,Posted Product Review,1
14759076,2/16/2013,19,Posted Product Review,1
14773655,3/1/2013,19,Posted Product Review,1
14820921,2/9/2013,17,Posted Product Review,1
14871196,3/5/2013,15,Posted Product Review,1
14883331,1/11/2013,17,Posted Product Review,1
14929167,1/25/2013,5,Posted Product Review,1
14981177,1/8/2013,3,Posted Product Review,1
15083587,1/31/2013,1,Posted Product Review,1
15093473,1/31/2013,5,Posted Product Review,1
15093473,1/14/2013,11,Posted Product Review,1
15127277,1/13/2013,6,Posted Product Review,1
15127277,3/7/2013,2,Posted Product Review,1
15131361,1/16/2013,20,Posted Product Review,1
15131361,1/8/2013,23,Posted Product Review,1
15134535,2/21/2013,20,Posted Product Review,1
15138015,1/30/2013,19,Posted Product Review,1
15260119,3/9/2013,0,Posted Product Review,1
15386520,2/7/2013,14,Posted Product Review,1
15394280,1/4/2013,19,Posted Product Review,1
15424924,2/27/2013,10,Posted Product Review,1
15424924,3/1/2013,6,Posted Product Review,1
15434532,1/8/2013,21,Posted Product Review,1
15441625,1/3/2013,22,Posted Product Review,1
15525042,1/3/2013,20,Posted Product Review,1
15531384,2/17/2013,0,Posted Product Review,1
15609733,1/10/2013,7,Posted Product Review,1
15645389,2/14/2013,1,Posted Product Review,1
15656946,2/17/2013,16,Posted Product Review,1
15656946,2/23/2013,1,Posted Product Review,1
15662408,2/19/2013,9,Posted Product Review,1
15677297,2/27/2013,17,Posted Product Review,1
15692139,1/3/2013,6,Posted Product Review,1
15765834,1/15/2013,2,Posted Product Review,1
15794073,3/5/2013,19,Posted Product Review,1
15804968,1/17/2013,0,Posted Product Review,1
15804968,1/23/2013,22,Posted Product Review,1
