storageDeviceId	dkcMicroVersion	clprs	clprId	clprName	cacheMemoryCapacity	numberOfResidentExtents	model	serialNumber	svpIp	portId_portType_lunSecurity
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59584	192.168.166.33	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59606	192.168.166.34	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	77320	16384	VSP G1500	59628	192.168.166.35	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59650	192.168.166.36	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59672	192.168.166.37	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59694	192.168.166.38	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59716	192.168.166.39	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59738	192.168.166.40	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59760	192.168.166.41	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59782	192.168.166.42	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59804	192.168.166.43	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59826	192.168.166.44	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
8.00E+11	80-05-23/01	/clprs                                                                               	0	CLPR0	88320	16384	VSP G1500	59848	192.168.166.45	CL1-A; FIBRE; true, CL1-B; FIBRE; true, CL1-C; ISCSI; false, CL1-D; ISCSI; false, CL1-E; FIBRE; false, CL1-F; FIBRE; false, CL2-A; FIBRE; true, CL2-B; FIBRE; true, CL2-C; ISCSI; false, CL2-D; ISCSI; false, CL2-E; FIBRE; false, CL2-F; FIBRE; false, CL3-A; FIBRE; true, CL3-B; FIBRE; true, CL3-C; ISCSI
