Dummy;Class;Component #;Support;CPM;Measure;Prior_Measure;Measure_Direction;Measure_Desc;RPM;Prior_Measure_predicted;Maintenance_Required?;Maintenance_Item;Metric_desc;Count
2;4;36;4;37000;0.35;0;ia;F_Vz;3000;0.04432;No;N/A;N/A;1
2;4;37;3;37000;4.5;0;io;F_Vx;3000;0.04289;No;N/A;N/A;1
2;4;38;3;37000;1.45;0;iv;F_Vy;3000;0.02518;No;N/A;N/A;1
2;4;39;3;38000;2.4;0;ia;F_Vz;3000;0.04432;No;N/A;N/A;1
2;4;40;4;9000;0.55;0;io;F_Vx;3000;0.0214;No;N/A;N/A;1
2;4;41;4;9000;1.1;0;ia;F_Vz;3000;0.04696;No;N/A;N/A;1
2;4;42;4;6000;0.5;0;io;F_Vx;3000;0.03003;No;N/A;N/A;1
2;4;43;4;3000;1.9;0;io;F_Vx;3000;0.03705;No;N/A;N/A;1
2;4;44;4;3000;0.35;0;ia;F_Vz;3000;0.04366;No;N/A;N/A;1
2;4;45;1;6000;0.9;0;io;F_Vx;3000;0.04833;No;N/A;N/A;1
2;4;46;1;9000;1.1;0;io;F_Vx;3000;0.01548;No;N/A;N/A;1
2;4;47;1;9000;2.5;0;iv;F_Vy;3000;0.02518;No;N/A;N/A;1
2;4;48;1;18000;1.15;0;iv;F_Vy;3000;0.02518;No;N/A;N/A;1
2;4;49;1;28000;2;0;iv;F_Vy;3000;0.02518;No;N/A;N/A;1
2;4;50;1;33000;2.15;0;io;F_Vx;3000;0.05073;No;N/A;N/A;1
2;4;51;1;36000;1.5;0;iv;F_Vy;3000;0.0589;No;N/A;N/A;1
2;4;52;2;3000;1.4;0;io;F_Vx;3000;0.04567;No;N/A;N/A;1
2;4;53;2;3000;3.3;0;iv;F_Vy;3000;0.02386;No;N/A;N/A;1
2;4;54;2;3000;14;0;ia;F_Vz;3000;0.0755;No;N/A;N/A;1
2;4;55;2;6000;1.1;0;io;F_Vx;3000;0.0341;No;N/A;N/A;1
2;4;56;2;9000;0.6;0;io;F_Vx;3000;0.0214;No;N/A;N/A;1
2;4;57;2;9000;2.3;0;ia;F_Vz;3000;0.05344;No;N/A;N/A;1
2;4;58;2;18000;2;0;io;F_Vx;3000;0.05073;No;N/A;N/A;1
2;4;59;2;18000;1.1;0;iv;F_Vy;3000;0.02223;No;N/A;N/A;1
2;4;60;2;18000;1;0;ia;F_Vz;3000;0.04696;No;N/A;N/A;1
2;4;61;2;3000;14;0;ma;Missing;3000;0.00124;No;N/A;N/A;1
3;2;16;1;13500;0.6;0;io;F_Vx;1500;0.07583;No;N/A;N/A;1
3;2;17;1;26000;0.8;0;io;F_Vx;1500;0.07583;No;N/A;N/A;1
3;2;18;1;26000;1.6;0;iv;F_Vy;1500;0.04397;No;N/A;N/A;1
3;2;19;2;1500;0.6;0;io;F_Vx;1500;0.14443;No;N/A;N/A;1
3;2;20;2;1500;1.15;0.5;ia;F_Vz;1500;0.21319;No;N/A;N/A;1
3;2;21;2;12000;0.6;0;io;F_Vx;1500;0.0634;No;N/A;N/A;1
3;2;22;2;18000;0.7;0;io;F_Vx;1500;0.07099;No;N/A;N/A;1
3;2;23;2;24000;1.4;0;io;F_Vx;1500;0.07853;No;N/A;N/A;1
3;2;24;2;24000;3.5;0.5;ia;F_Vz;1500;0.12677;No;N/A;N/A;1
3;2;25;1;1500;0.2;0;io;F_Vx;1500;0.14866;No;N/A;N/A;1
3;2;26;1;1500;0.8;0;iv;F_Vy;1500;0.13016;No;N/A;N/A;1
3;2;27;2;27000;1.75;0;ia;F_Vz;1500;0.12677;No;N/A;N/A;1
3;2;28;4;30000;2.5;1.95;ia;F_Vz;1500;0.32496;No;N/A;N/A;1
3;2;29;3;1500;1.2;0.5;io;F_Vx;1500;0.20673;No;N/A;N/A;1
3;2;30;3;1500;1.55;1;iv;F_Vy;1500;0.17966;No;N/A;N/A;1
3;2;31;3;15000;1.1;0;io;F_Vx;1500;0.07379;No;N/A;N/A;1
3;2;32;3;21000;1.2;0;iv;F_Vy;1500;0.04397;No;N/A;N/A;1
3;2;33;3;24000;1.4;0;io;F_Vx;1500;0.08659;No;N/A;N/A;1
3;2;34;3;30000;0.8;1.3;io;F_Vx;1500;0.31291;No;N/A;N/A;1
3;2;35;3;30000;2;0;iv;F_Vy;1500;0.24217;No;N/A;N/A;1
3;2;36;4;1500;0.9;0.45;io;F_Vx;1500;0.1904;No;N/A;N/A;1
3;2;37;4;1500;1.1;0.7;ia;F_Vz;1500;0.26269;No;N/A;N/A;1
3;2;38;4;24000;1.4;0.5;io;F_Vx;1500;0.12645;No;N/A;N/A;1
3;2;39;4;24000;1.35;0;ia;F_Vz;1500;0.12677;No;N/A;N/A;1
3;2;40;2;24000;3.5;0;ma;Missing;1500;0.01792;No;N/A;N/A;1
4;2;4;2;0;0.7;0.7;vv;NF_Vy;1500;0.94841;No;N/A;N/A;1
4;2;5;2;0;0.5;0.6;va;NF_Vz;1500;0.76825;No;N/A;N/A;1
4;2;13;1;0;0.6;0.9;vv;NF_Vy;1500;0.95634;No;N/A;N/A;1
4;2;17;4;0;2.2;0.7;vo;NF_Vx;1500;0.91132;No;N/A;N/A;1
4;2;19;4;0;2.5;0.6;va;NF_Vz;1500;0.80469;No;N/A;N/A;1
4;2;20;3;27000;2;0;iv;F_Vy;1500;0.03097;No;N/A;N/A;1
4;2;21;3;32000;1.05;0;io;F_Vx;1500;0.03272;No;N/A;N/A;1
4;2;22;3;32000;2.75;0;iv;F_Vy;1500;0.03097;No;N/A;N/A;1
4;2;23;3;38000;1.1;0;iv;F_Vy;1500;0.03097;No;N/A;N/A;1
4;2;24;3;20000;0.45;0;io;F_Vx;1500;0.04704;No;N/A;N/A;1
4;2;25;4;20000;1.4;0;io;F_Vx;1500;0.05173;No;N/A;N/A;1
4;2;26;4;20000;2.5;0;iv;F_Vy;1500;0.03097;No;N/A;N/A;1
4;2;27;4;40000;1.25;0;iv;F_Vy;1500;0.03097;No;N/A;N/A;1
4;2;28;4;27000;2.5;0;iv;F_Vy;1500;0.03097;No;N/A;N/A;1
4;2;29;4;27000;0.5;0;ia;F_Vz;1500;0.03725;No;N/A;N/A;1
4;2;30;4;30000;1.2;0;io;F_Vx;1500;0.04232;No;N/A;N/A;1
4;2;31;4;30000;2.5;0;ia;F_Vz;1500;0.03725;No;N/A;N/A;1
4;2;32;4;36000;2.5;0;iv;F_Vy;1500;0.03097;No;N/A;N/A;1
4;2;33;3;32000;2.75;0;ma;Missing;1500;0.00491;No;N/A;N/A;1
5;2;0;1;0;3.5;0;ao;NF_Ax;1500;0.84293;No;N/A;N/A;1
5;2;1;1;0;0.9;0;vo;NF_Vx;1500;0.18211;No;N/A;N/A;1
5;2;4;3;0;4.5;0;vo;NF_Vx;1500;0.33442;No;N/A;N/A;1
5;2;5;3;0;5;0;vv;NF_Vy;1500;0.31075;No;N/A;N/A;1
5;2;6;2;0;5;0;ao;NF_Ax;1500;0.50938;No;N/A;N/A;1
5;2;8;2;0;1.1;0;vo;NF_Vx;1500;0.21154;No;N/A;N/A;1
5;2;9;2;0;1.1;0;va;NF_Vz;1500;0.24424;No;N/A;N/A;1
5;2;12;4;0;4.5;0;aa;NF_Az;1500;0.85272;No;N/A;N/A;1
5;2;13;4;0;10.5;0;vo;NF_Vx;1500;0.33442;No;N/A;N/A;1
5;2;14;4;0;8.5;0;vv;NF_Vy;1500;0.24157;No;N/A;N/A;1
5;2;15;4;0;6;0;va;NF_Vz;1500;0.24729;No;N/A;N/A;1
5;2;16;2;1500;0.4;0;io;F_Vx;1500;0.0936;No;N/A;N/A;1
5;2;17;2;1500;0.5;0;ia;F_Vz;1500;0.05933;No;N/A;N/A;1
5;2;18;4;30000;2.5;0;io;F_Vx;1500;0.03138;No;N/A;N/A;1
5;2;19;4;30000;3;0;iv;F_Vy;1500;0.03097;No;N/A;N/A;1
5;2;20;4;30000;4;0;ia;F_Vz;1500;0.03725;No;N/A;N/A;1
5;2;21;4;75000;1.4;0;io;F_Vx;1500;0.04929;No;N/A;N/A;1
5;2;22;4;35000;3.5;0;iv;F_Vy;1500;0.03097;No;N/A;N/A;1
5;2;23;4;36000;3.5;0;io;F_Vx;1500;0.02894;No;N/A;N/A;1
5;2;24;4;42000;1;0;io;F_Vx;1500;0.03217;No;N/A;N/A;1
5;2;25;2;6000;0.6;0;ia;F_Vz;1500;0.0436;No;N/A;N/A;1
5;2;26;2;20000;0.35;0;io;F_Vx;1500;0.04135;No;N/A;N/A;1
5;2;27;2;20000;0.8;0;ia;F_Vz;1500;0.03725;No;N/A;N/A;1
5;2;28;3;1500;1.8;0;io;F_Vx;1500;0.07925;No;N/A;N/A;1
5;2;29;3;1500;2.7;0;iv;F_Vy;1500;0.08248;No;N/A;N/A;1
5;2;30;3;7500;1.25;0;iv;F_Vy;1500;0.09726;No;N/A;N/A;1
5;2;31;3;18000;1.9;0;iv;F_Vy;1500;0.03097;No;N/A;N/A;1
5;2;32;3;24000;1.25;0;io;F_Vx;1500;0.05359;No;N/A;N/A;1
5;2;33;3;24000;1.45;0;iv;F_Vy;1500;0.03097;No;N/A;N/A;1
5;2;34;3;36000;0.65;0;iv;F_Vy;1500;0.03097;No;N/A;N/A;1
5;2;35;3;38000;1.1;0;io;F_Vx;1500;0.03421;No;N/A;N/A;1
5;2;36;1;20000;0.6;0;io;F_Vx;1500;0.04074;No;N/A;N/A;1
5;2;37;4;1500;0.5;0;io;F_Vx;1500;0.06817;No;N/A;N/A;1
5;2;38;4;1500;0.5;0;iv;F_Vy;1500;0.08248;No;N/A;N/A;1
5;2;39;4;1500;0.6;0;ia;F_Vz;1500;0.05933;No;N/A;N/A;1
5;2;40;4;48000;1;0;iv;F_Vy;1500;0.06933;No;N/A;N/A;1
5;2;41;4;4500;0.9;0;io;F_Vx;1500;0.04104;No;N/A;N/A;1
5;2;42;4;74000;1.1;0;ia;F_Vz;1500;0.03725;No;N/A;N/A;1
5;2;43;4;77000;1.9;0;iv;F_Vy;1500;0.02906;No;N/A;N/A;1
5;2;44;4;20000;1.75;0;iv;F_Vy;1500;0.02906;No;N/A;N/A;1
5;2;45;4;30000;4;0;ma;Missing;1500;0.00491;No;N/A;N/A;1
6;2;0;2;0;7.5;0;ao;NF_Ax;3000;0.96437;No;N/A;N/A;1
6;2;1;2;0;8;0;av;NF_Ay;3000;0.8893;No;N/A;N/A;1
6;2;2;2;0;6.5;0;aa;NF_Az;3000;0.86668;No;N/A;N/A;1
6;2;3;2;0;5;0;vo;NF_Vx;3000;0.28797;No;N/A;N/A;1
6;2;4;2;0;8;0;vv;NF_Vy;3000;0.15104;No;N/A;N/A;1
6;2;5;2;0;9.5;0;va;NF_Vz;3000;0.25588;No;N/A;N/A;1
6;2;6;1;0;6.5;0;ao;NF_Ax;3000;0.87337;No;N/A;N/A;1
6;2;7;1;0;4.5;0;av;NF_Ay;3000;0.8893;No;N/A;N/A;1
6;2;8;1;0;5.5;0;vo;NF_Vx;3000;0.28797;No;N/A;N/A;1
6;2;9;1;0;5.25;0;vv;NF_Vy;3000;0.15665;No;N/A;N/A;1
6;2;10;1;6000;1.2;0;io;F_Vx;3000;0.05675;No;N/A;N/A;1
6;2;11;1;27000;1.25;0;io;F_Vx;3000;0.0449;No;N/A;N/A;1
6;2;12;1;32000;4.75;0;io;F_Vx;3000;0.03339;No;N/A;N/A;1
6;2;13;1;32000;4;0;iv;F_Vy;3000;0.03097;No;N/A;N/A;1
6;2;14;1;3000;0.2;0;io;F_Vx;3000;0.05293;No;N/A;N/A;1
6;2;15;1;3000;0.35;0;iv;F_Vy;3000;0.04841;No;N/A;N/A;1
6;2;16;1;36000;2.25;0;iv;F_Vy;3000;0.03097;No;N/A;N/A;1
6;2;17;2;50000;1.75;0;io;F_Vx;3000;0.05955;No;N/A;N/A;1
6;2;18;2;3000;0.5;0;io;F_Vx;3000;0.05273;No;N/A;N/A;1
6;2;19;2;3000;0.6;0;iv;F_Vy;3000;0.04841;No;N/A;N/A;1
6;2;20;2;3000;0.5;0;ia;F_Vz;3000;0.0436;No;N/A;N/A;1
6;2;21;2;27000;1.75;0;io;F_Vx;3000;0.05365;No;N/A;N/A;1
6;2;22;2;27000;4.5;0;iv;F_Vy;3000;0.03097;No;N/A;N/A;1
6;2;23;2;27000;4;0;ia;F_Vz;3000;0.03725;No;N/A;N/A;1
6;2;24;2;32000;5.5;0;iv;F_Vy;3000;0.03097;No;N/A;N/A;1
6;2;25;2;32000;9.5;0;ia;F_Vz;3000;0.09012;No;N/A;N/A;1
6;2;26;2;36000;2.75;0;io;F_Vx;3000;0.03566;No;N/A;N/A;1
6;2;27;2;32000;9.5;0;ma;Missing;3000;0.02086;No;N/A;N/A;1
7;2;0;2;0;5;0;ao;NF_Ax;1500;0.61287;No;N/A;N/A;1
7;2;1;2;0;4;0;aa;NF_Az;1500;0.85272;No;N/A;N/A;1
7;2;2;2;0;1.95;0;vo;NF_Vx;1500;0.2498;No;N/A;N/A;1
7;2;3;2;0;0.9;0;va;NF_Vz;1500;0.24424;No;N/A;N/A;1
7;2;5;1;0;1.6;0;vo;NF_Vx;1500;0.2498;No;N/A;N/A;1
7;2;7;3;0;7;0;aa;NF_Az;1500;0.85272;No;N/A;N/A;1
7;2;8;3;0;15;0;vo;NF_Vx;1500;0.38227;No;N/A;N/A;1
7;2;9;3;0;9.5;0;va;NF_Vz;1500;0.32211;No;N/A;N/A;1
7;2;11;4;0;14.5;0;vo;NF_Vx;1500;0.38227;No;N/A;N/A;1
7;2;12;3;15000;1.65;0;io;F_Vx;1500;0.05027;No;N/A;N/A;1
7;2;13;1;6000;1.3;0;io;F_Vx;1500;0.06328;No;N/A;N/A;1
7;2;14;3;24000;1.75;0;ia;F_Vz;1500;0.06757;No;N/A;N/A;1
7;2;15;1;30000;0.4;0;io;F_Vx;1500;0.04283;No;N/A;N/A;1
7;2;16;3;32000;4.5;0;io;F_Vx;1500;0.05527;No;N/A;N/A;1
7;2;17;3;32000;4.5;0;ia;F_Vz;1500;0.03725;No;N/A;N/A;1
7;2;18;3;45000;6.5;0;io;F_Vx;1500;0.08731;No;N/A;N/A;1
7;2;19;3;46000;2.5;0;ia;F_Vz;1500;0.03725;No;N/A;N/A;1
7;2;20;4;1500;0.6;0;io;F_Vx;1500;0.06817;No;N/A;N/A;1
7;2;21;4;15000;1.5;0;io;F_Vx;1500;0.0259;No;N/A;N/A;1
7;2;22;4;30000;2.5;0;io;F_Vx;1500;0.03138;No;N/A;N/A;1
7;2;23;4;38000;10;0;io;F_Vx;1500;0.11714;No;N/A;N/A;1
7;2;24;2;6000;1.5;0;io;F_Vx;1500;0.05738;No;N/A;N/A;1
7;2;25;2;32000;0.65;0;io;F_Vx;1500;0.03798;No;N/A;N/A;1
7;2;26;3;1500;0.4;0;io;F_Vx;1500;0.0877;No;N/A;N/A;1
7;2;27;4;38000;10;0;ma;Missing;1500;0.02086;No;N/A;N/A;1
8;5;1;4;0;57;0;aa;NF_Az;3000;0.71231;No;N/A;N/A;1
8;5;2;4;0;14;0;vo;NF_Vx;3000;0.31549;No;N/A;N/A;1
8;5;3;4;0;9;0;va;NF_Vz;3000;0.1787;No;N/A;N/A;1
8;5;5;3;0;40;0;av;NF_Ay;3000;0.76915;No;N/A;N/A;1
8;5;6;3;0;21.5;0;aa;NF_Az;3000;0.68387;No;N/A;N/A;1
8;5;7;3;0;14.5;0;vo;NF_Vx;3000;0.31549;No;N/A;N/A;1
8;5;8;3;0;12;0;vv;NF_Vy;3000;0.12991;No;N/A;N/A;1
8;5;9;3;0;3.5;0;va;NF_Vz;3000;0.1787;No;N/A;N/A;1
8;5;10;1;0;26.5;0;ao;NF_Ax;3000;0.97736;No;N/A;N/A;1
8;5;11;1;0;9;0;av;NF_Ay;3000;0.6257;No;N/A;N/A;1
8;5;12;1;0;5.7;0;vo;NF_Vx;3000;0.1892;No;N/A;N/A;1
8;5;13;1;0;2.7;0;vv;NF_Vy;3000;0.09558;No;N/A;N/A;1
8;5;14;2;0;24.5;0;ao;NF_Ax;3000;0.97736;No;N/A;N/A;1
8;5;15;2;0;26;0;av;NF_Ay;3000;0.75367;No;N/A;N/A;1
8;5;16;2;0;9.5;0;aa;NF_Az;3000;0.62718;No;N/A;N/A;1
8;5;17;2;0;5.2;0;vo;NF_Vx;3000;0.16299;No;N/A;N/A;1
8;5;18;2;0;4.7;0;vv;NF_Vy;3000;0.07883;No;N/A;N/A;1
8;5;19;2;0;2.5;0;va;NF_Vz;3000;0.16706;No;N/A;N/A;1
8;5;20;2;12000;0.7;0;io;F_Vx;3000;0.01949;No;N/A;N/A;1
8;5;21;2;12000;0.35;0;iv;F_Vy;3000;0.02342;No;N/A;N/A;1
8;5;22;3;6000;2.8;0;io;F_Vx;3000;0.05148;No;N/A;N/A;1
8;5;23;3;6000;12;0;iv;F_Vy;3000;0.10383;No;N/A;N/A;1
8;5;24;3;6000;1.1;0;ia;F_Vz;3000;0.0354;No;N/A;N/A;1
8;5;25;3;9000;0.8;0;io;F_Vx;3000;0.02418;No;N/A;N/A;1
8;5;26;3;9000;1.3;0;iv;F_Vy;3000;0.02811;No;N/A;N/A;1
8;5;27;3;15000;0.6;0;io;F_Vx;3000;0.01949;No;N/A;N/A;1
8;5;28;3;18000;2.5;0;iv;F_Vy;3000;0.02342;No;N/A;N/A;1
8;5;29;3;18000;0.5;0;ia;F_Vz;3000;0.02693;No;N/A;N/A;1
8;5;30;3;22000;2.1;0;iv;F_Vy;3000;0.02342;No;N/A;N/A;1
8;5;31;4;21000;0.9;0;io;F_Vx;3000;0.02054;No;N/A;N/A;1
8;5;32;4;21000;1.75;0;ia;F_Vz;3000;0.02429;No;N/A;N/A;1
8;5;33;4;9000;0.65;0;io;F_Vx;3000;0.02542;No;N/A;N/A;1
8;5;34;4;9000;0.6;0;ia;F_Vz;3000;0.03162;No;N/A;N/A;1
8;5;35;4;6000;2.5;0;ia;F_Vz;3000;0.03188;No;N/A;N/A;1
8;5;36;4;3000;12;0;io;F_Vx;3000;0.19011;No;N/A;N/A;1
8;5;37;4;3000;8;0;ia;F_Vz;3000;0.07532;No;N/A;N/A;1
8;5;38;3;36000;1.25;0;ia;F_Vz;3000;0.02429;No;N/A;N/A;1
8;5;39;3;30000;3.5;0;io;F_Vx;3000;0.04113;No;N/A;N/A;1
8;5;40;2;9000;0.5;0;io;F_Vx;3000;0.03714;No;N/A;N/A;1
8;5;41;2;9000;0.6;0;iv;F_Vy;3000;0.04092;No;N/A;N/A;1
8;5;42;2;6000;3.8;0;io;F_Vx;3000;0.05331;No;N/A;N/A;1
8;5;43;2;6000;1.2;0;iv;F_Vy;3000;0.02681;No;N/A;N/A;1
8;5;44;2;6000;0.7;0;ia;F_Vz;3000;0.0254;No;N/A;N/A;1
8;5;45;2;3000;3.8;0;io;F_Vx;3000;0.06208;No;N/A;N/A;1
8;5;46;2;3000;3.8;0;iv;F_Vy;3000;0.02681;No;N/A;N/A;1
8;5;47;2;3000;1.4;0;ia;F_Vz;3000;0.03188;No;N/A;N/A;1
8;5;48;1;24000;0.5;0;io;F_Vx;3000;0.01964;No;N/A;N/A;1
8;5;49;1;24000;0.9;0;iv;F_Vy;3000;0.02342;No;N/A;N/A;1
8;5;50;1;18000;0.55;0;iv;F_Vy;3000;0.02342;No;N/A;N/A;1
8;5;51;1;12000;0.35;0;io;F_Vx;3000;0.01964;No;N/A;N/A;1
8;5;52;1;12000;0.45;0;iv;F_Vy;3000;0.02047;No;N/A;N/A;1
8;5;53;1;9000;0.4;0;io;F_Vx;3000;0.05353;No;N/A;N/A;1
8;5;54;1;9000;0.4;0;iv;F_Vy;3000;0.05436;No;N/A;N/A;1
8;5;55;1;6000;3;0;io;F_Vx;3000;0.06394;No;N/A;N/A;1
8;5;56;1;6000;2.15;0;iv;F_Vy;3000;0.02386;No;N/A;N/A;1
8;5;57;1;3000;3.2;0;io;F_Vx;3000;0.06636;No;N/A;N/A;1
8;5;58;1;3000;0.65;0;iv;F_Vy;3000;0.02386;No;N/A;N/A;1
8;5;59;4;30000;1.5;0;io;F_Vx;3000;0.05546;No;N/A;N/A;1
8;5;60;2;24000;0.55;0;io;F_Vx;3000;0.0421;No;N/A;N/A;1
8;5;61;2;24000;0.95;0;ia;F_Vz;3000;0.02429;No;N/A;N/A;1
8;5;62;2;18000;0.7;0;iv;F_Vy;3000;0.02047;No;N/A;N/A;1
8;5;63;2;28000;1.25;0;ia;F_Vz;3000;0.02429;No;N/A;N/A;1
8;5;64;3;28000;1.75;0;iv;F_Vy;3000;0.02047;No;N/A;N/A;1
8;5;65;3;3000;11;0;io;F_Vx;3000;0.19011;No;N/A;N/A;1
8;5;66;3;3000;1.2;0;iv;F_Vy;3000;0.02386;No;N/A;N/A;1
8;5;67;3;3000;3.2;0;ia;F_Vz;3000;0.03188;No;N/A;N/A;1
8;5;68;3;6000;12;0;ma;Missing;3000;0.06345;No;N/A;N/A;1
9;2;0;2;0;704;0;ao;NF_Ax;3000;0.8616;No;N/A;N/A;1
9;2;1;2;0;9;0;aa;NF_Az;3000;0.86668;No;N/A;N/A;1
9;2;2;2;0;9.5;0;vo;NF_Vx;3000;0.28797;No;N/A;N/A;1
9;2;3;2;0;2.3;0;va;NF_Vz;3000;0.24424;No;N/A;N/A;1
9;2;4;3;0;16.5;0;ao;NF_Ax;3000;0.89807;No;N/A;N/A;1
9;2;5;3;0;4;0;vo;NF_Vx;3000;0.28797;No;N/A;N/A;1
9;2;6;1;0;10;0;ao;NF_Ax;3000;0.87337;No;N/A;N/A;1
9;2;7;1;0;3.75;0;vo;NF_Vx;3000;0.28797;No;N/A;N/A;1
9;2;8;4;0;7.5;0;ao;NF_Ax;3000;0.87337;No;N/A;N/A;1
9;2;9;4;0;5.5;0;aa;NF_Az;3000;0.86668;No;N/A;N/A;1
9;2;10;4;0;2.75;0;vo;NF_Vx;3000;0.23722;No;N/A;N/A;1
9;2;11;4;0;2.7;0;va;NF_Vz;3000;0.21729;No;N/A;N/A;1
9;2;12;2;34000;6.25;0;io;F_Vx;3000;0.04339;No;N/A;N/A;1
9;2;13;2;36000;0.9;0;ia;F_Vz;3000;0.06757;No;N/A;N/A;1
9;2;14;3;3000;2.6;0;io;F_Vx;3000;0.09938;No;N/A;N/A;1
9;2;15;1;3000;0.8;0;io;F_Vx;3000;0.05863;No;N/A;N/A;1
9;2;16;3;6000;1.8;0;io;F_Vx;3000;0.0714;No;N/A;N/A;1
9;2;17;1;6000;1.8;0;io;F_Vx;3000;0.0714;No;N/A;N/A;1
9;2;18;3;22000;1.1;0;io;F_Vx;3000;0.03534;No;N/A;N/A;1
9;2;19;4;3000;0.75;0;io;F_Vx;3000;0.04346;No;N/A;N/A;1
9;2;20;4;3000;0.7;0;ia;F_Vz;3000;0.0436;No;N/A;N/A;1
9;2;21;4;6000;1.65;0;io;F_Vx;3000;0.03296;No;N/A;N/A;1
9;2;22;4;33000;0.75;0;io;F_Vx;3000;0.02052;No;N/A;N/A;1
9;2;23;4;34000;1.75;0;ia;F_Vz;3000;0.03725;No;N/A;N/A;1
9;2;24;1;34000;1.85;0;io;F_Vx;3000;0.05365;No;N/A;N/A;1
9;2;25;2;3000;1.4;0;io;F_Vx;3000;0.05961;No;N/A;N/A;1
9;2;26;2;3000;1.35;0;ia;F_Vz;3000;0.05008;No;N/A;N/A;1
